,curve_id,curve_type
0,985501000,untreated
1,985501000001,untreated_species_prop_BA
2,985501000002,untreated_species_prop_CW
3,985501000003,untreated_species_prop_DR
4,985501000004,untreated_species_prop_FDC
5,985501000005,untreated_species_prop_HW
6,985501000006,untreated_species_prop_PL
7,985501000007,untreated_species_prop_PLC
8,985501000008,untreated_species_prop_PW
9,985501000009,untreated_species_prop_SS
10,985501000010,untreated_species_prop_YC
11,985521000,treated
12,985521000001,treated_species_prop_BA
13,985521000002,treated_species_prop_CW
14,985521000003,treated_species_prop_DR
15,985521000004,treated_species_prop_FDC
16,985521000005,treated_species_prop_HW
17,985521000006,treated_species_prop_PL
18,985521000007,treated_species_prop_PLC
19,985521000008,treated_species_prop_PW
20,985521000009,treated_species_prop_SS
21,985521000010,treated_species_prop_YC
22,985502000,untreated
23,985502000001,untreated_species_prop_BA
24,985502000002,untreated_species_prop_CW
25,985502000003,untreated_species_prop_DR
26,985502000004,untreated_species_prop_FDC
27,985502000005,untreated_species_prop_HW
28,985502000006,untreated_species_prop_PL
29,985502000007,untreated_species_prop_PLC
30,985502000008,untreated_species_prop_PW
31,985502000009,untreated_species_prop_SS
32,985502000010,untreated_species_prop_YC
33,985503000,untreated
34,985503000001,untreated_species_prop_BA
35,985503000002,untreated_species_prop_CW
36,985503000003,untreated_species_prop_DR
37,985503000004,untreated_species_prop_FDC
38,985503000005,untreated_species_prop_HW
39,985503000006,untreated_species_prop_PL
40,985503000007,untreated_species_prop_PLC
41,985503000008,untreated_species_prop_PW
42,985503000009,untreated_species_prop_SS
43,985503000010,untreated_species_prop_YC
44,985523000,treated
45,985523000001,treated_species_prop_BA
46,985523000002,treated_species_prop_CW
47,985523000003,treated_species_prop_DR
48,985523000004,treated_species_prop_FDC
49,985523000005,treated_species_prop_HW
50,985523000006,treated_species_prop_PL
51,985523000007,treated_species_prop_PLC
52,985523000008,treated_species_prop_PW
53,985523000009,treated_species_prop_SS
54,985523000010,treated_species_prop_YC
55,985501001,untreated
56,985501001001,untreated_species_prop_BA
57,985501001002,untreated_species_prop_CW
58,985501001003,untreated_species_prop_DR
59,985501001004,untreated_species_prop_FDC
60,985501001005,untreated_species_prop_HW
61,985501001006,untreated_species_prop_PL
62,985501001007,untreated_species_prop_PLC
63,985501001008,untreated_species_prop_PW
64,985501001009,untreated_species_prop_SS
65,985501001010,untreated_species_prop_YC
66,985521001,treated
67,985521001001,treated_species_prop_BA
68,985521001002,treated_species_prop_CW
69,985521001003,treated_species_prop_DR
70,985521001004,treated_species_prop_FDC
71,985521001005,treated_species_prop_HW
72,985521001006,treated_species_prop_PL
73,985521001007,treated_species_prop_PLC
74,985521001008,treated_species_prop_PW
75,985521001009,treated_species_prop_SS
76,985521001010,treated_species_prop_YC
77,985502001,untreated
78,985502001001,untreated_species_prop_BA
79,985502001002,untreated_species_prop_CW
80,985502001003,untreated_species_prop_DR
81,985502001004,untreated_species_prop_FDC
82,985502001005,untreated_species_prop_HW
83,985502001006,untreated_species_prop_PL
84,985502001007,untreated_species_prop_PLC
85,985502001008,untreated_species_prop_PW
86,985502001009,untreated_species_prop_SS
87,985502001010,untreated_species_prop_YC
88,985522001,treated
89,985522001001,treated_species_prop_BA
90,985522001002,treated_species_prop_CW
91,985522001003,treated_species_prop_DR
92,985522001004,treated_species_prop_FDC
93,985522001005,treated_species_prop_HW
94,985522001006,treated_species_prop_PL
95,985522001007,treated_species_prop_PLC
96,985522001008,treated_species_prop_PW
97,985522001009,treated_species_prop_SS
