AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover,Logs_Grade_D,Logs_Grade_F,Logs_Grade_H,Logs_Grade_I,Logs_Grade_J,Logs_Grade_U,Logs_Grade_X,Logs_Grade_Y,Logs_Grade_All
21000,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000,10,0.0,3.0,,,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000,20,0.2,8.1,,,10.1,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000,30,58.0,13.4,,,78.9,80.9,0.0,0.0,0.0,0.0,14.0,21.6,2.6,1.0,43.8
21000,40,170.5,18.0,,,197.9,88.6,0.0,0.0,0.0,0.1,109.7,34.8,16.0,3.7,184.1
21000,50,292.1,22.0,,,328.4,88.8,0.0,0.0,0.5,2.2,228.4,36.4,20.1,3.1,327.4
21000,60,416.2,25.4,,,461.9,88.3,0.0,0.0,4.9,14.4,335.1,37.5,22.2,2.4,471.5
21000,70,540.5,28.4,,,596.2,87.9,0.0,0.0,17.5,43.7,415.4,38.8,22.1,2.8,614.9
21000,80,654.8,31.0,,,721.7,87.4,0.0,0.0,35.2,90.0,465.1,39.9,21.6,3.1,749.2
21000,90,760.8,33.3,,,840.3,87.0,0.0,0.0,55.3,146.4,494.6,41.0,20.7,3.3,875.5
21000,100,860.8,35.3,,,955.0,86.5,0.0,0.0,80.3,207.7,508.4,40.9,20.2,3.3,995.1
21000,110,941.8,37.1,,,1052.6,86.0,0.0,0.0,109.4,259.1,511.1,40.0,19.7,3.3,1095.5
21000,120,1012.1,38.7,,,1139.8,85.6,0.0,0.0,142.4,299.1,510.8,39.2,19.2,3.2,1184.6
21000,130,1082.9,40.2,,,1229.6,85.1,0.0,0.0,223.3,294.9,506.9,38.3,18.3,3.4,1274.6
21000,140,1145.4,41.5,,,1310.8,84.7,0.0,0.0,296.0,290.8,502.7,37.4,17.5,3.5,1355.7
21000,150,1202.1,42.6,,,1389.0,84.2,0.0,0.0,381.4,271.3,494.5,36.3,17.1,3.6,1429.7
21000,160,1252.2,43.7,,,1460.0,83.8,0.0,0.0,458.3,253.2,486.8,35.1,16.7,3.6,1496.7
21000,170,1293.7,44.7,,,1522.1,83.3,0.0,0.0,521.6,241.1,478.5,33.8,16.5,3.7,1554.7
21000,180,1327.2,45.5,,,1575.7,82.9,0.0,0.0,571.1,235.6,469.9,32.5,16.3,3.8,1604.3
21000,190,1357.7,46.4,,,1626.1,82.4,0.0,0.0,616.8,230.4,461.5,31.4,16.1,3.9,1650.6
21000,200,1385.8,47.1,,,1673.8,81.9,0.0,0.0,659.7,225.1,453.2,30.5,15.9,3.9,1694.2
21000,210,1414.4,47.8,,,1722.6,81.5,0.0,0.0,704.6,218.5,444.0,29.8,15.7,4.0,1738.3
21000,220,1439.7,48.4,,,1767.7,81.0,0.0,0.0,745.5,212.3,435.2,29.1,15.4,4.1,1779.0
21000,230,1462.1,49.0,,,1809.5,80.6,0.0,0.0,782.5,206.4,426.9,28.5,15.2,4.1,1816.6
21000,240,1482.0,49.5,,,1848.3,80.1,0.0,0.0,816.2,201.0,419.1,28.0,15.0,4.2,1851.4
21000,250,1498.0,50.0,,,1882.2,79.7,0.0,0.0,846.2,195.4,411.2,27.7,14.6,4.2,1882.1
21000,260,1511.9,50.5,,,1913.6,79.2,0.0,0.0,873.4,190.2,403.7,27.4,14.3,4.3,1910.5
21000,270,1523.8,51.0,,,1942.9,78.8,0.0,0.0,898.0,185.3,396.6,27.2,14.1,4.3,1936.8
21000,280,1534.2,51.4,,,1970.2,78.3,0.0,0.0,920.2,180.8,389.7,26.9,13.8,4.4,1961.4
21000,290,1543.0,51.8,,,1996.1,77.9,0.0,0.0,940.3,176.9,383.0,26.7,13.5,4.4,1984.3
21000,300,1551.0,52.1,,,2020.7,77.4,0.0,0.0,958.5,173.5,376.7,26.4,13.3,4.4,2006.3
21000,310,1559.9,52.5,,,2046.4,76.9,0.0,0.0,974.0,172.5,371.2,26.2,13.1,4.5,2029.5
21000,320,1567.5,52.8,,,2070.6,76.5,0.0,0.0,988.0,171.6,366.0,26.0,13.0,4.5,2051.5
21000,330,1574.1,53.1,,,2093.6,76.0,0.0,0.0,1000.8,170.6,361.0,25.8,12.8,4.5,2072.2
21000,340,1579.6,53.4,,,2115.3,75.6,0.0,0.0,1012.4,169.7,356.1,25.6,12.6,4.5,2091.8
21000,350,1584.2,53.7,,,2135.9,75.1,0.0,0.0,1022.8,168.7,351.4,25.4,12.5,4.6,2110.5
21001,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21001,10,0.0,2.9,,,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21001,20,0.4,8.7,,,11.9,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21001,30,57.8,14.2,,,77.3,73.0,0.0,0.0,0.0,0.0,11.0,24.3,4.1,1.1,52.7
21001,40,149.4,18.9,,,174.9,76.2,0.0,0.0,0.0,0.1,85.6,38.8,14.4,4.2,186.9
21001,50,240.4,22.8,,,272.9,76.1,0.0,0.0,0.7,1.3,165.6,49.1,16.0,5.6,313.1
21001,60,334.5,26.1,,,374.1,75.7,0.0,0.0,5.1,7.5,238.7,58.3,16.0,7.5,440.1
21001,70,424.6,28.9,,,471.7,75.3,0.0,0.0,15.5,23.1,292.9,66.5,15.5,9.5,561.9
21001,80,505.1,31.3,,,560.6,74.9,0.0,0.0,28.9,47.9,328.7,73.0,14.8,11.0,673.0
21001,90,577.2,33.4,,,641.8,74.5,0.0,0.0,45.8,79.0,349.7,76.8,13.7,11.9,774.0
21001,100,641.8,35.3,,,716.5,74.1,0.0,0.0,63.7,113.1,360.6,78.7,13.5,12.3,865.8
21001,110,696.5,36.9,,,781.8,73.7,0.0,0.0,80.6,144.4,366.4,79.8,13.6,12.5,945.6
21001,120,748.1,38.3,,,845.0,73.4,0.0,0.0,114.8,160.1,367.4,80.3,13.7,13.1,1021.6
21001,130,793.8,39.6,,,902.4,73.0,0.0,0.0,147.5,173.2,366.7,80.4,13.9,13.7,1090.1
21001,140,834.2,40.7,,,955.4,72.6,0.0,0.0,183.4,179.2,364.6,80.3,14.1,14.3,1151.8
21001,150,869.1,41.8,,,1003.5,72.2,0.0,0.0,221.8,180.8,359.6,78.7,14.9,15.2,1206.5
21001,160,898.2,42.7,,,1045.4,71.8,0.0,0.0,252.1,185.1,354.4,77.2,15.7,16.0,1254.1
21001,170,924.3,43.6,,,1084.3,71.4,0.0,0.0,279.1,189.6,349.1,75.9,16.3,16.7,1297.8
21001,180,947.0,44.3,,,1119.8,71.0,0.0,0.0,303.7,193.6,343.5,74.9,16.6,17.3,1337.3
21001,190,968.5,45.0,,,1154.8,70.6,0.0,0.0,329.2,196.4,336.7,74.5,16.5,17.8,1374.9
21001,200,987.4,45.7,,,1186.9,70.2,0.0,0.0,352.1,198.9,330.2,74.2,16.3,18.3,1409.5
21001,210,1003.9,46.3,,,1216.2,69.8,0.0,0.0,372.6,201.1,324.2,73.8,16.2,18.7,1441.0
21001,220,1018.0,46.8,,,1242.7,69.5,0.0,0.0,390.6,202.9,318.5,73.5,16.1,19.1,1469.4
21001,230,1029.9,47.4,,,1266.9,69.1,0.0,0.0,406.5,205.1,312.6,73.1,15.9,19.4,1495.1
21001,240,1040.1,47.8,,,1290.5,68.7,0.0,0.0,419.2,210.1,305.3,72.5,15.9,19.8,1518.4
21001,250,1048.9,48.3,,,1312.4,68.3,0.0,0.0,430.8,214.6,298.5,71.8,15.8,20.1,1540.0
21001,260,1056.6,48.7,,,1332.8,67.9,0.0,0.0,441.2,218.7,292.1,71.2,15.8,20.4,1560.2
21001,270,1063.6,49.1,,,1352.5,67.5,0.0,0.0,450.3,222.9,286.2,70.6,15.7,20.7,1579.6
