TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,3
1,feature.Seral.CWHvm_DR_HW_M.immature,,4
1,feature.Seral.CWHvm_DR_HW_M.mature,,5
1,feature.Seral.CWHvm_DR_HW_M.overmature,,6
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,7
1,feature.Seral.CWHvm_DR_HW_M.young,,8
1,feature.Seral.immature,,4
1,feature.Seral.mature,,5
1,feature.Seral.overmature,,6
1,feature.Seral.regenerating,,7
1,feature.Seral.young,,8
1,feature.SpeciesProp.unmanaged.CW,,9
1,feature.SpeciesProp.unmanaged.FDC,,10
1,feature.SpeciesProp.unmanaged.HW,,11
1,feature.Yield.unmanaged.CW,,12
1,feature.Yield.unmanaged.FDC,,13
1,feature.Yield.unmanaged.HW,,14
1,feature.Yield.unmanaged.Total,,15
2,feature.Area.managed,,16
2,feature.Area.og1.CWHvm_DR_HW_M,,17
2,feature.Area.og1.total,,17
2,feature.Area.og2.CWHvm_DR_HW_M,,18
2,feature.Area.og2.total,,18
2,feature.QMD.managed.CWHvm_DR_HW_M,,19
2,feature.Seral.CWHvm_DR_HW_M.immature,,20
2,feature.Seral.CWHvm_DR_HW_M.mature,,21
2,feature.Seral.CWHvm_DR_HW_M.overmature,,22
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,23
2,feature.Seral.CWHvm_DR_HW_M.young,,24
2,feature.Seral.immature,,20
2,feature.Seral.mature,,21
2,feature.Seral.overmature,,22
2,feature.Seral.regenerating,,23
2,feature.Seral.young,,24
2,feature.SpeciesProp.managed.CW,,25
2,feature.SpeciesProp.managed.FDC,,26
2,feature.SpeciesProp.managed.HW,,27
2,feature.Yield.managed.CW,,28
2,feature.Yield.managed.FDC,,29
2,feature.Yield.managed.HW,,30
2,feature.Yield.managed.Total,,31
3,feature.Area.og1.CWHvm_FDC_HW_H,,44
3,feature.Area.og1.total,,44
3,feature.Area.og2.CWHvm_FDC_HW_H,,18
3,feature.Area.og2.total,,18
3,feature.Area.unmanaged,,16
3,feature.QMD.unmanaged.CWHvm_FDC_HW_H,,45
3,feature.Seral.CWHvm_FDC_HW_H.immature,,46
3,feature.Seral.CWHvm_FDC_HW_H.mature,,47
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,48
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,23
3,feature.Seral.CWHvm_FDC_HW_H.young,,24
3,feature.Seral.immature,,46
3,feature.Seral.mature,,47
3,feature.Seral.overmature,,48
3,feature.Seral.regenerating,,23
3,feature.Seral.young,,24
3,feature.SpeciesProp.unmanaged.CW,,49
3,feature.SpeciesProp.unmanaged.FDC,,50
3,feature.SpeciesProp.unmanaged.HW,,51
3,feature.Yield.unmanaged.CW,,52
3,feature.Yield.unmanaged.FDC,,53
3,feature.Yield.unmanaged.HW,,54
3,feature.Yield.unmanaged.Total,,55
4,feature.Area.managed,,16
4,feature.Area.og1.CWHvm_FDC_HW_H,,44
4,feature.Area.og1.total,,44
4,feature.Area.og2.CWHvm_FDC_HW_H,,18
4,feature.Area.og2.total,,18
4,feature.QMD.managed.CWHvm_FDC_HW_H,,56
4,feature.Seral.CWHvm_FDC_HW_H.immature,,46
4,feature.Seral.CWHvm_FDC_HW_H.mature,,47
4,feature.Seral.CWHvm_FDC_HW_H.overmature,,48
4,feature.Seral.CWHvm_FDC_HW_H.regenerating,,23
4,feature.Seral.CWHvm_FDC_HW_H.young,,24
4,feature.Seral.immature,,46
4,feature.Seral.mature,,47
4,feature.Seral.overmature,,48
4,feature.Seral.regenerating,,23
4,feature.Seral.young,,24
4,feature.SpeciesProp.managed.CW,,49
4,feature.SpeciesProp.managed.FDC,,50
4,feature.SpeciesProp.managed.HW,,51
4,feature.Yield.managed.CW,,57
4,feature.Yield.managed.FDC,,58
4,feature.Yield.managed.HW,,59
4,feature.Yield.managed.Total,,60
5,feature.Area.og1.CWHvm_HW_CW_M,,73
5,feature.Area.og1.total,,73
5,feature.Area.og2.CWHvm_HW_CW_M,,18
5,feature.Area.og2.total,,18
5,feature.Area.unmanaged,,16
5,feature.QMD.unmanaged.CWHvm_HW_CW_M,,74
5,feature.Seral.CWHvm_HW_CW_M.immature,,75
5,feature.Seral.CWHvm_HW_CW_M.mature,,76
5,feature.Seral.CWHvm_HW_CW_M.overmature,,77
5,feature.Seral.CWHvm_HW_CW_M.regenerating,,23
5,feature.Seral.CWHvm_HW_CW_M.young,,24
5,feature.Seral.immature,,75
5,feature.Seral.mature,,76
5,feature.Seral.overmature,,77
5,feature.Seral.regenerating,,23
5,feature.Seral.young,,24
5,feature.SpeciesProp.unmanaged.CW,,11
5,feature.SpeciesProp.unmanaged.FDC,,9
5,feature.SpeciesProp.unmanaged.HW,,78
5,feature.Yield.unmanaged.CW,,79
5,feature.Yield.unmanaged.FDC,,80
5,feature.Yield.unmanaged.HW,,81
5,feature.Yield.unmanaged.Total,,82
6,feature.Area.managed,,16
6,feature.Area.og1.CWHvm_HW_CW_M,,73
6,feature.Area.og1.total,,73
6,feature.Area.og2.CWHvm_HW_CW_M,,18
6,feature.Area.og2.total,,18
6,feature.QMD.managed.CWHvm_HW_CW_M,,83
6,feature.Seral.CWHvm_HW_CW_M.immature,,75
6,feature.Seral.CWHvm_HW_CW_M.mature,,76
6,feature.Seral.CWHvm_HW_CW_M.overmature,,77
6,feature.Seral.CWHvm_HW_CW_M.regenerating,,23
6,feature.Seral.CWHvm_HW_CW_M.young,,24
6,feature.Seral.immature,,75
6,feature.Seral.mature,,76
6,feature.Seral.overmature,,77
6,feature.Seral.regenerating,,23
6,feature.Seral.young,,24
6,feature.SpeciesProp.managed.CW,,11
6,feature.SpeciesProp.managed.FDC,,9
6,feature.SpeciesProp.managed.HW,,78
6,feature.Yield.managed.CW,,84
6,feature.Yield.managed.FDC,,85
6,feature.Yield.managed.HW,,86
6,feature.Yield.managed.Total,,87
7,feature.Area.og1.CWHvm_HW_FDC_H,,100
7,feature.Area.og1.total,,100
7,feature.Area.og2.CWHvm_HW_FDC_H,,18
7,feature.Area.og2.total,,18
7,feature.Area.unmanaged,,16
7,feature.QMD.unmanaged.CWHvm_HW_FDC_H,,101
7,feature.Seral.CWHvm_HW_FDC_H.immature,,46
7,feature.Seral.CWHvm_HW_FDC_H.mature,,47
7,feature.Seral.CWHvm_HW_FDC_H.overmature,,48
7,feature.Seral.CWHvm_HW_FDC_H.regenerating,,23
7,feature.Seral.CWHvm_HW_FDC_H.young,,24
7,feature.Seral.immature,,46
7,feature.Seral.mature,,47
7,feature.Seral.overmature,,48
7,feature.Seral.regenerating,,23
7,feature.Seral.young,,24
7,feature.SpeciesProp.unmanaged.CW,,11
7,feature.SpeciesProp.unmanaged.FDC,,9
7,feature.SpeciesProp.unmanaged.HW,,26
7,feature.Yield.unmanaged.CW,,102
7,feature.Yield.unmanaged.FDC,,103
7,feature.Yield.unmanaged.HW,,104
7,feature.Yield.unmanaged.Total,,105
8,feature.Area.managed,,16
8,feature.Area.og1.CWHvm_HW_FDC_H,,100
8,feature.Area.og1.total,,100
8,feature.Area.og2.CWHvm_HW_FDC_H,,18
8,feature.Area.og2.total,,18
8,feature.QMD.managed.CWHvm_HW_FDC_H,,106
8,feature.Seral.CWHvm_HW_FDC_H.immature,,46
8,feature.Seral.CWHvm_HW_FDC_H.mature,,47
8,feature.Seral.CWHvm_HW_FDC_H.overmature,,48
8,feature.Seral.CWHvm_HW_FDC_H.regenerating,,23
8,feature.Seral.CWHvm_HW_FDC_H.young,,24
8,feature.Seral.immature,,46
8,feature.Seral.mature,,47
8,feature.Seral.overmature,,48
8,feature.Seral.regenerating,,23
8,feature.Seral.young,,24
8,feature.SpeciesProp.managed.CW,,11
8,feature.SpeciesProp.managed.FDC,,9
8,feature.SpeciesProp.managed.HW,,26
8,feature.Yield.managed.CW,,107
8,feature.Yield.managed.FDC,,108
8,feature.Yield.managed.HW,,109
8,feature.Yield.managed.Total,,110
9,feature.Area.og1.CWHvm_HW_CW_L,,118
9,feature.Area.og1.total,,118
9,feature.Area.og2.CWHvm_HW_CW_L,,1
9,feature.Area.og2.total,,1
9,feature.Area.unmanaged,,2
9,feature.QMD.unmanaged.CWHvm_HW_CW_L,,119
9,feature.Seral.CWHvm_HW_CW_L.immature,,4
9,feature.Seral.CWHvm_HW_CW_L.mature,,120
9,feature.Seral.CWHvm_HW_CW_L.overmature,,121
