TRACK,TREATMENT,LABEL,FUTURE,ADJUST,METHOD,CURVE
2,CC,product.HarvestedVolume.managed.CW.CC,0,R,,32
2,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,33
2,CC,product.HarvestedVolume.managed.HW.CC,0,R,,34
2,CC,product.HarvestedVolume.managed.Total.CC,0,R,,35
2,CC,product.Seral.area.immature.CWHvm_DR_HW_M.CC,0,R,,36
2,CC,product.Seral.area.mature.CWHvm_DR_HW_M.CC,0,R,,37
2,CC,product.Seral.area.overmature.CWHvm_DR_HW_M.CC,0,R,,38
2,CC,product.Seral.area.regenerating.CWHvm_DR_HW_M.CC,0,R,,39
2,CC,product.Seral.area.young.CWHvm_DR_HW_M.CC,0,R,,39
2,CC,product.SpeciesProp.managed.CW,0,R,,40
2,CC,product.SpeciesProp.managed.FDC,0,R,,41
2,CC,product.SpeciesProp.managed.HW,0,R,,42
2,CC,product.Treated.managed.CC,0,R,,43
2,CC,product.Yield.managed.CW,0,R,,32
2,CC,product.Yield.managed.FDC,0,R,,33
2,CC,product.Yield.managed.HW,0,R,,34
2,CC,product.Yield.managed.Total,0,R,,35
4,CC,product.HarvestedVolume.managed.CW.CC,0,R,,61
4,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,62
4,CC,product.HarvestedVolume.managed.HW.CC,0,R,,63
4,CC,product.HarvestedVolume.managed.Total.CC,0,R,,64
4,CC,product.Seral.area.immature.CWHvm_FDC_HW_H.CC,0,R,,65
4,CC,product.Seral.area.mature.CWHvm_FDC_HW_H.CC,0,R,,66
4,CC,product.Seral.area.overmature.CWHvm_FDC_HW_H.CC,0,R,,67
4,CC,product.Seral.area.regenerating.CWHvm_FDC_HW_H.CC,0,R,,68
4,CC,product.Seral.area.young.CWHvm_FDC_HW_H.CC,0,R,,68
4,CC,product.SpeciesProp.managed.CW,0,R,,69
4,CC,product.SpeciesProp.managed.FDC,0,R,,70
4,CC,product.SpeciesProp.managed.HW,0,R,,71
4,CC,product.Treated.managed.CC,0,R,,72
4,CC,product.Yield.managed.CW,0,R,,61
4,CC,product.Yield.managed.FDC,0,R,,62
4,CC,product.Yield.managed.HW,0,R,,63
4,CC,product.Yield.managed.Total,0,R,,64
6,CC,product.HarvestedVolume.managed.CW.CC,0,R,,88
6,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,89
6,CC,product.HarvestedVolume.managed.HW.CC,0,R,,90
6,CC,product.HarvestedVolume.managed.Total.CC,0,R,,91
6,CC,product.Seral.area.immature.CWHvm_HW_CW_M.CC,0,R,,92
6,CC,product.Seral.area.mature.CWHvm_HW_CW_M.CC,0,R,,93
6,CC,product.Seral.area.overmature.CWHvm_HW_CW_M.CC,0,R,,94
6,CC,product.Seral.area.regenerating.CWHvm_HW_CW_M.CC,0,R,,95
6,CC,product.Seral.area.young.CWHvm_HW_CW_M.CC,0,R,,95
6,CC,product.SpeciesProp.managed.CW,0,R,,96
6,CC,product.SpeciesProp.managed.FDC,0,R,,97
6,CC,product.SpeciesProp.managed.HW,0,R,,98
6,CC,product.Treated.managed.CC,0,R,,99
6,CC,product.Yield.managed.CW,0,R,,88
6,CC,product.Yield.managed.FDC,0,R,,89
6,CC,product.Yield.managed.HW,0,R,,90
6,CC,product.Yield.managed.Total,0,R,,91
8,CC,product.HarvestedVolume.managed.CW.CC,0,R,,111
8,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,112
8,CC,product.HarvestedVolume.managed.HW.CC,0,R,,113
8,CC,product.HarvestedVolume.managed.Total.CC,0,R,,114
8,CC,product.Seral.area.immature.CWHvm_HW_FDC_H.CC,0,R,,65
8,CC,product.Seral.area.mature.CWHvm_HW_FDC_H.CC,0,R,,66
8,CC,product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,0,R,,67
8,CC,product.Seral.area.regenerating.CWHvm_HW_FDC_H.CC,0,R,,68
8,CC,product.Seral.area.young.CWHvm_HW_FDC_H.CC,0,R,,68
8,CC,product.SpeciesProp.managed.CW,0,R,,115
8,CC,product.SpeciesProp.managed.FDC,0,R,,116
8,CC,product.SpeciesProp.managed.HW,0,R,,117
8,CC,product.Treated.managed.CC,0,R,,72
8,CC,product.Yield.managed.CW,0,R,,111
8,CC,product.Yield.managed.FDC,0,R,,112
8,CC,product.Yield.managed.HW,0,R,,113
8,CC,product.Yield.managed.Total,0,R,,114
10,CC,product.HarvestedVolume.managed.CW.CC,0,R,,134
10,CC,product.HarvestedVolume.managed.HW.CC,0,R,,135
10,CC,product.HarvestedVolume.managed.Total.CC,0,R,,136
10,CC,product.Seral.area.immature.CWHvm_HW_CW_L.CC,0,R,,36
10,CC,product.Seral.area.mature.CWHvm_HW_CW_L.CC,0,R,,137
10,CC,product.Seral.area.overmature.CWHvm_HW_CW_L.CC,0,R,,138
10,CC,product.Seral.area.regenerating.CWHvm_HW_CW_L.CC,0,R,,39
10,CC,product.Seral.area.young.CWHvm_HW_CW_L.CC,0,R,,39
10,CC,product.SpeciesProp.managed.CW,0,R,,139
10,CC,product.SpeciesProp.managed.HW,0,R,,140
