TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,756,CC,false,2,A,0,0,,0,
4,70,756,CC,false,4,A,0,0,,0,
6,90,756,CC,false,6,A,0,0,,0,
8,70,756,CC,false,8,A,0,0,,0,
10,100,756,CC,false,11,A,0,0,,0,
11,100,756,CC,false,11,A,0,0,,0,
13,90,756,CC,false,13,A,0,0,,0,
15,100,756,CC,false,16,A,0,0,,0,
16,100,756,CC,false,16,A,0,0,,0,
16,40,40,CT,false,17,A,0,0,,0,
17,100,756,CC,false,16,A,0,0,,0,
17,66,66,F1,false,18,A,0,0,,0,
18,100,756,CC,false,16,A,0,0,,0,
18,76,76,F2,false,19,A,0,0,,0,
19,100,756,CC,false,16,A,0,0,,0,
19,86,86,F3,false,20,A,0,0,,0,
20,100,756,CC,false,16,A,0,0,,0,
22,80,756,CC,false,22,A,0,0,,0,
24,70,756,CC,false,24,A,0,0,,0,
24,40,40,CT,false,25,A,0,0,,0,
25,70,756,CC,false,24,A,0,0,,0,
25,51,51,F1,false,26,A,0,0,,0,
26,70,756,CC,false,24,A,0,0,,0,
26,61,61,F2,false,27,A,0,0,,0,
27,70,756,CC,false,24,A,0,0,,0,
27,71,71,F3,false,28,A,0,0,,0,
28,70,756,CC,false,24,A,0,0,,0,
30,80,756,CC,false,31,A,0,0,,0,
31,80,756,CC,false,31,A,0,0,,0,
33,80,756,CC,false,22,A,0,0,,0,
35,90,756,CC,false,6,A,0,0,,0,
37,70,756,CC,false,8,A,0,0,,0,
40,80,756,CC,false,41,A,0,0,,0,
41,80,756,CC,false,41,A,0,0,,0,
43,90,756,CC,false,13,A,0,0,,0,
47,70,756,CC,false,24,A,0,0,,0,
50,80,756,CC,false,51,A,0,0,,0,
51,80,756,CC,false,51,A,0,0,,0,
54,70,756,CC,false,4,A,0,0,,0,
