TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,756,CC,false,2,A,0,0,,0,
4,70,756,CC,false,4,A,0,0,,0,
4,40,40,CT,false,5,R,0,0,,0,
5,70,756,CC,false,4,A,0,0,,0,
5,54,54,F1,false,6,R,0,0,,0,
6,70,756,CC,false,4,A,0,0,,0,
6,64,64,F2,false,7,R,0,0,,0,
7,70,756,CC,false,4,A,0,0,,0,
7,74,74,F3,false,8,R,0,0,,0,
8,70,756,CC,false,4,A,0,0,,0,
10,90,756,CC,false,10,A,0,0,,0,
12,70,756,CC,false,12,A,0,0,,0,
14,100,756,CC,false,14,A,0,0,,0,
16,100,756,CC,false,17,A,0,0,,0,
17,100,756,CC,false,17,A,0,0,,0,
19,90,756,CC,false,19,A,0,0,,0,
19,40,40,CT,false,20,R,0,0,,0,
20,90,756,CC,false,19,A,0,0,,0,
20,56,56,F1,false,21,R,0,0,,0,
21,90,756,CC,false,19,A,0,0,,0,
21,66,66,F2,false,22,R,0,0,,0,
22,90,756,CC,false,19,A,0,0,,0,
22,76,76,F3,false,23,R,0,0,,0,
23,90,756,CC,false,19,A,0,0,,0,
25,100,756,CC,false,26,A,0,0,,0,
26,100,756,CC,false,26,A,0,0,,0,
26,40,40,CT,false,27,R,0,0,,0,
27,100,756,CC,false,26,A,0,0,,0,
27,66,66,F1,false,28,R,0,0,,0,
28,100,756,CC,false,26,A,0,0,,0,
28,76,76,F2,false,29,R,0,0,,0,
29,100,756,CC,false,26,A,0,0,,0,
29,86,86,F3,false,30,R,0,0,,0,
30,100,756,CC,false,26,A,0,0,,0,
32,80,756,CC,false,32,A,0,0,,0,
34,70,756,CC,false,34,A,0,0,,0,
34,40,40,CT,false,35,R,0,0,,0,
35,70,756,CC,false,34,A,0,0,,0,
35,51,51,F1,false,36,R,0,0,,0,
36,70,756,CC,false,34,A,0,0,,0,
36,61,61,F2,false,37,R,0,0,,0,
37,70,756,CC,false,34,A,0,0,,0,
37,71,71,F3,false,38,R,0,0,,0,
38,70,756,CC,false,34,A,0,0,,0,
40,70,756,CC,false,40,A,0,0,,0,
40,40,40,CT,false,41,R,0,0,,0,
41,70,756,CC,false,40,A,0,0,,0,
41,51,51,F1,false,42,R,0,0,,0,
42,70,756,CC,false,40,A,0,0,,0,
42,61,61,F2,false,43,R,0,0,,0,
43,70,756,CC,false,40,A,0,0,,0,
43,71,71,F3,false,44,R,0,0,,0,
44,70,756,CC,false,40,A,0,0,,0,
46,80,756,CC,false,47,A,0,0,,0,
47,80,756,CC,false,47,A,0,0,,0,
49,80,756,CC,false,50,A,0,0,,0,
50,80,756,CC,false,50,A,0,0,,0,
52,100,756,CC,false,53,A,0,0,,0,
53,100,756,CC,false,53,A,0,0,,0,
53,40,40,CT,false,54,R,0,0,,0,
54,100,756,CC,false,53,A,0,0,,0,
54,66,66,F1,false,55,R,0,0,,0,
55,100,756,CC,false,53,A,0,0,,0,
55,76,76,F2,false,56,R,0,0,,0,
56,100,756,CC,false,53,A,0,0,,0,
56,86,86,F3,false,57,R,0,0,,0,
57,100,756,CC,false,53,A,0,0,,0,
59,90,756,CC,false,60,A,0,0,,0,
60,90,756,CC,false,60,A,0,0,,0,
62,70,756,CC,false,62,A,0,0,,0,
62,40,40,CT,false,63,R,0,0,,0,
63,70,756,CC,false,62,A,0,0,,0,
63,54,54,F1,false,64,R,0,0,,0,
64,70,756,CC,false,62,A,0,0,,0,
64,64,64,F2,false,65,R,0,0,,0,
65,70,756,CC,false,62,A,0,0,,0,
65,74,74,F3,false,66,R,0,0,,0,
66,70,756,CC,false,62,A,0,0,,0,
68,70,756,CC,false,12,A,0,0,,0,
70,80,756,CC,false,71,A,0,0,,0,
71,80,756,CC,false,71,A,0,0,,0,
74,80,756,CC,false,74,A,0,0,,0,
76,70,756,CC,false,76,A,0,0,,0,
78,80,756,CC,false,79,A,0,0,,0,
79,80,756,CC,false,79,A,0,0,,0,
81,70,756,CC,false,81,A,0,0,,0,
81,40,40,CT,false,82,R,0,0,,0,
82,70,756,CC,false,81,A,0,0,,0,
82,51,51,F1,false,83,R,0,0,,0,
83,70,756,CC,false,81,A,0,0,,0,
83,61,61,F2,false,84,R,0,0,,0,
84,70,756,CC,false,81,A,0,0,,0,
84,71,71,F3,false,85,R,0,0,,0,
85,70,756,CC,false,81,A,0,0,,0,
87,70,756,CC,false,87,A,0,0,,0,
89,80,756,CC,false,90,A,0,0,,0,
90,80,756,CC,false,90,A,0,0,,0,
92,100,756,CC,false,93,A,0,0,,0,
93,100,756,CC,false,93,A,0,0,,0,
93,40,40,CT,false,94,R,0,0,,0,
94,100,756,CC,false,93,A,0,0,,0,
94,66,66,F1,false,95,R,0,0,,0,
95,100,756,CC,false,93,A,0,0,,0,
95,76,76,F2,false,96,R,0,0,,0,
96,100,756,CC,false,93,A,0,0,,0,
96,86,86,F3,false,97,R,0,0,,0,
97,100,756,CC,false,93,A,0,0,,0,
99,90,756,CC,false,100,A,0,0,,0,
100,90,756,CC,false,100,A,0,0,,0,
100,40,40,CT,false,101,R,0,0,,0,
101,90,756,CC,false,100,A,0,0,,0,
101,56,56,F1,false,102,R,0,0,,0,
102,90,756,CC,false,100,A,0,0,,0,
102,66,66,F2,false,103,R,0,0,,0,
103,90,756,CC,false,100,A,0,0,,0,
103,76,76,F3,false,104,R,0,0,,0,
104,90,756,CC,false,100,A,0,0,,0,
106,100,756,CC,false,107,A,0,0,,0,
107,100,756,CC,false,107,A,0,0,,0,
109,90,756,CC,false,110,A,0,0,,0,
110,90,756,CC,false,110,A,0,0,,0,
113,100,756,CC,false,114,A,0,0,,0,
114,100,756,CC,false,114,A,0,0,,0,
116,70,756,CC,false,116,A,0,0,,0,
118,80,756,CC,false,32,A,0,0,,0,
120,90,756,CC,false,120,A,0,0,,0,
120,40,40,CT,false,121,R,0,0,,0,
121,90,756,CC,false,120,A,0,0,,0,
121,56,56,F1,false,122,R,0,0,,0,
122,90,756,CC,false,120,A,0,0,,0,
122,66,66,F2,false,123,R,0,0,,0,
123,90,756,CC,false,120,A,0,0,,0,
123,76,76,F3,false,124,R,0,0,,0,
124,90,756,CC,false,120,A,0,0,,0,
126,80,756,CC,false,127,A,0,0,,0,
127,80,756,CC,false,127,A,0,0,,0,
129,80,756,CC,false,130,A,0,0,,0,
130,80,756,CC,false,130,A,0,0,,0,
132,100,756,CC,false,132,A,0,0,,0,
134,90,756,CC,false,134,A,0,0,,0,
134,40,40,CT,false,135,R,0,0,,0,
135,90,756,CC,false,134,A,0,0,,0,
135,56,56,F1,false,136,R,0,0,,0,
136,90,756,CC,false,134,A,0,0,,0,
136,66,66,F2,false,137,R,0,0,,0,
137,90,756,CC,false,134,A,0,0,,0,
137,76,76,F3,false,138,R,0,0,,0,
138,90,756,CC,false,134,A,0,0,,0,
140,100,756,CC,false,141,A,0,0,,0,
141,100,756,CC,false,141,A,0,0,,0,
143,80,756,CC,false,144,A,0,0,,0,
144,80,756,CC,false,144,A,0,0,,0,
146,100,756,CC,false,147,A,0,0,,0,
147,100,756,CC,false,147,A,0,0,,0,
147,40,40,CT,false,148,R,0,0,,0,
148,100,756,CC,false,147,A,0,0,,0,
148,66,66,F1,false,149,R,0,0,,0,
149,100,756,CC,false,147,A,0,0,,0,
149,76,76,F2,false,150,R,0,0,,0,
150,100,756,CC,false,147,A,0,0,,0,
150,86,86,F3,false,151,R,0,0,,0,
151,100,756,CC,false,147,A,0,0,,0,
153,100,756,CC,false,154,A,0,0,,0,
154,100,756,CC,false,154,A,0,0,,0,
154,40,40,CT,false,155,R,0,0,,0,
155,100,756,CC,false,154,A,0,0,,0,
155,66,66,F1,false,156,R,0,0,,0,
156,100,756,CC,false,154,A,0,0,,0,
156,76,76,F2,false,157,R,0,0,,0,
