BLOCK,TYPE,TRACK,OFFSET,AREA
1,unmanaged,1,57,0.74569
1,managed,2,57,7.2987
2,unmanaged,3,57,0.412869
2,managed,4,57,5.4853
3,unmanaged,6,37,1.55045
3,managed,7,37,0.407275
4,unmanaged,8,57,0.5149
4,managed,9,57,6.8408
5,unmanaged,10,47,0.6981
5,managed,11,47,4.50366
6,unmanaged,12,87,0.7287
6,managed,13,87,2.32815
7,unmanaged,15,57,7.0386
7,managed,16,57,80.348
8,unmanaged,21,277,1.52443
8,managed,22,277,20.2532
9,unmanaged,8,57,0.295908
9,managed,9,57,3.93135
10,unmanaged,21,307,0.483072
10,managed,22,307,6.418
11,unmanaged,28,57,0.302988
11,managed,29,57,4.02541
12,unmanaged,30,47,0.98494
12,managed,31,47,1.62317
13,unmanaged,8,47,0.121814
13,managed,9,47,1.61839
14,unmanaged,36,47,8.1809
14,managed,37,47,38.2683
15,unmanaged,42,127,1.05359
15,managed,43,127,1.76271
16,unmanaged,21,127,0.057498
16,managed,22,127,0.7639
17,unmanaged,45,67,0.74872
17,managed,46,67,2.4515
18,unmanaged,48,407,2.20408
18,managed,49,407,5.4833
19,unmanaged,55,127,1.42244
19,managed,56,127,0.0382799
20,unmanaged,58,47,1.5739
20,managed,59,47,19.5835
21,unmanaged,61,67,1.1517
21,managed,62,67,15.3012
22,unmanaged,3,57,0.095092
22,managed,4,57,1.26337
23,unmanaged,63,127,2.4271
23,managed,64,127,7.4426
24,unmanaged,66,277,9.797
25,unmanaged,67,57,0.490778
25,managed,68,57,1.6143
26,unmanaged,69,47,1.04497
26,managed,70,47,7.2314
27,unmanaged,71,207,0.80492
27,managed,72,207,1.8445
28,unmanaged,74,57,0.70922
28,managed,75,57,6.7346
29,unmanaged,80,57,0.82419
29,managed,81,57,0.82723
30,unmanaged,82,107,2.78847
30,managed,83,107,0.7512
31,unmanaged,21,357,0.433877
31,managed,22,357,5.7644
32,unmanaged,85,277,2.82628
32,managed,86,277,5.5763
33,unmanaged,92,127,0.245158
33,managed,93,127,3.2571
34,unmanaged,99,237,3.81564
34,managed,100,237,0.33821
35,unmanaged,8,57,0.29525
35,managed,9,57,3.92261
36,unmanaged,8,47,0.397546
36,managed,9,47,5.2817
37,unmanaged,102,127,0.57565
37,managed,103,127,5.0957
38,unmanaged,21,407,0.395609
38,managed,22,407,5.2559
39,unmanaged,105,47,1.62526
39,managed,23,47,21.5927
40,unmanaged,106,237,0.278611
40,managed,107,237,3.70155
41,unmanaged,109,57,0.357465
41,managed,110,57,2.48969
42,unmanaged,111,127,0.274191
42,managed,112,127,3.64283
43,unmanaged,113,47,0.496422
43,managed,114,47,3.09906
44,unmanaged,8,57,0.102116
44,managed,9,57,1.35669
45,unmanaged,119,107,0.328061
45,managed,120,107,2.24582
46,unmanaged,106,237,0.322346
46,managed,107,237,4.28259
47,unmanaged,122,77,0.50266
47,managed,123,77,5.0445
48,unmanaged,125,43,4.23053
48,managed,126,43,10.5577
49,unmanaged,127,47,5.9201
49,managed,128,47,3.91752
50,unmanaged,133,237,1.23038
50,managed,134,237,2.65301
51,unmanaged,136,103,1.82642
51,managed,137,103,13.0274
52,unmanaged,139,403,2.7691
52,managed,140,403,0.0439017
53,unmanaged,146,177,3.07562
53,managed,147,177,0.284372
54,unmanaged,153,47,0.454058
54,managed,154,47,6.0325
55,unmanaged,21,277,0.63887
55,managed,22,277,8.4879
56,unmanaged,155,47,2.27544
56,managed,156,47,0.271832
57,unmanaged,157,47,2.4909
57,managed,158,47,3.29397
58,unmanaged,163,237,1.76604
58,managed,164,237,0.184228
59,unmanaged,170,357,1.42017
59,managed,171,357,0.0076729
60,unmanaged,177,307,6.3747
61,unmanaged,61,107,1.08145
61,managed,62,107,14.3678
62,unmanaged,8,47,0.182329
62,managed,9,47,2.42237
63,unmanaged,8,47,0.280996
63,managed,9,47,3.73323
64,unmanaged,178,237,0.65894
64,managed,179,237,0.0100863
65,unmanaged,21,357,0.58425
65,managed,22,357,7.7621
66,unmanaged,185,57,2.74388
66,managed,186,57,1.04406
