BLOCK,TYPE,TRACK,OFFSET,AREA
1,unmanaged,1,57,0.74569
1,managed,2,57,7.2987
2,unmanaged,3,57,0.412869
2,managed,4,57,5.4853
3,unmanaged,10,37,1.55045
3,managed,11,37,0.407275
4,unmanaged,12,57,0.5149
4,managed,13,57,6.8408
5,unmanaged,19,47,0.6981
5,managed,20,47,4.50366
6,unmanaged,21,87,0.7287
6,managed,22,87,2.32815
7,unmanaged,24,57,7.0386
7,managed,25,57,80.348
8,unmanaged,31,277,1.52443
8,managed,32,277,20.2532
9,unmanaged,12,57,0.295908
9,managed,13,57,3.93135
10,unmanaged,31,307,0.483072
10,managed,32,307,6.418
11,unmanaged,39,57,0.302988
11,managed,40,57,4.02541
12,unmanaged,41,47,0.98494
12,managed,42,47,1.62317
13,unmanaged,12,47,0.121814
13,managed,13,47,1.61839
14,unmanaged,48,47,8.1809
14,managed,49,47,38.2683
15,unmanaged,55,127,1.05359
15,managed,56,127,1.76271
16,unmanaged,31,127,0.057498
16,managed,32,127,0.7639
17,unmanaged,58,67,0.74872
17,managed,59,67,2.4515
18,unmanaged,61,407,2.20408
18,managed,62,407,5.4833
19,unmanaged,69,127,1.42244
19,managed,70,127,0.0382799
20,unmanaged,72,47,1.5739
20,managed,73,47,19.5835
21,unmanaged,79,67,1.1517
21,managed,80,67,15.3012
22,unmanaged,3,57,0.095092
22,managed,4,57,1.26337
23,unmanaged,81,127,2.4271
23,managed,82,127,7.4426
24,unmanaged,84,277,9.797
25,unmanaged,85,57,0.490778
25,managed,86,57,1.6143
26,unmanaged,87,47,1.04497
26,managed,88,47,7.2314
27,unmanaged,94,207,0.80492
27,managed,95,207,1.8445
28,unmanaged,97,57,0.70922
28,managed,98,57,6.7346
29,unmanaged,104,57,0.82419
29,managed,105,57,0.82723
30,unmanaged,111,107,2.78847
30,managed,112,107,0.7512
31,unmanaged,31,357,0.433877
31,managed,32,357,5.7644
32,unmanaged,114,277,2.82628
32,managed,115,277,5.5763
33,unmanaged,122,127,0.245158
33,managed,123,127,3.2571
34,unmanaged,130,237,3.81564
34,managed,131,237,0.33821
35,unmanaged,12,57,0.29525
35,managed,13,57,3.92261
36,unmanaged,12,47,0.397546
36,managed,13,47,5.2817
37,unmanaged,133,127,0.57565
37,managed,134,127,5.0957
38,unmanaged,31,407,0.395609
38,managed,32,407,5.2559
39,unmanaged,136,47,1.62526
39,managed,33,47,21.5927
40,unmanaged,137,237,0.278611
40,managed,138,237,3.70155
41,unmanaged,140,57,0.357465
41,managed,141,57,2.48969
42,unmanaged,147,127,0.274191
42,managed,148,127,3.64283
43,unmanaged,149,47,0.496422
43,managed,150,47,3.09906
44,unmanaged,12,57,0.102116
44,managed,13,57,1.35669
45,unmanaged,156,107,0.328061
45,managed,157,107,2.24582
46,unmanaged,137,237,0.322346
46,managed,138,237,4.28259
47,unmanaged,159,77,0.50266
47,managed,160,77,5.0445
48,unmanaged,162,43,4.23053
48,managed,163,43,10.5577
49,unmanaged,164,47,5.9201
49,managed,165,47,3.91752
50,unmanaged,171,237,1.23038
50,managed,172,237,2.65301
51,unmanaged,174,103,1.82642
51,managed,175,103,13.0274
52,unmanaged,177,403,2.7691
52,managed,178,403,0.0439017
53,unmanaged,185,177,3.07562
53,managed,186,177,0.284372
54,unmanaged,193,47,0.454058
54,managed,194,47,6.0325
55,unmanaged,31,277,0.63887
55,managed,32,277,8.4879
56,unmanaged,195,47,2.27544
56,managed,196,47,0.271832
57,unmanaged,197,47,2.4909
57,managed,198,47,3.29397
58,unmanaged,204,237,1.76604
58,managed,205,237,0.184228
59,unmanaged,212,357,1.42017
59,managed,213,357,0.0076729
60,unmanaged,220,307,6.3747
61,unmanaged,79,107,1.08145
61,managed,80,107,14.3678
62,unmanaged,12,47,0.182329
62,managed,13,47,2.42237
63,unmanaged,12,47,0.280996
63,managed,13,47,3.73323
64,unmanaged,221,237,0.65894
64,managed,222,237,0.0100863
65,unmanaged,31,357,0.58425
65,managed,32,357,7.7621
66,unmanaged,229,57,2.74388
66,managed,230,57,1.04406
