TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,756,CC,false,2,A,0,0,,0,
3,70,756,CC,false,3,A,0,0,,0,
5,90,756,CC,false,5,A,0,0,,0,
6,70,756,CC,false,6,A,0,0,,0,
8,100,756,CC,false,8,A,0,0,,0,
9,100,756,CC,false,10,A,0,0,,0,
10,100,756,CC,false,10,A,0,0,,0,
12,90,756,CC,false,12,A,0,0,,0,
13,100,756,CC,false,14,A,0,0,,0,
14,100,756,CC,false,14,A,0,0,,0,
16,70,756,CC,false,16,A,0,0,,0,
17,80,756,CC,false,17,A,0,0,,0,
19,70,756,CC,false,19,A,0,0,,0,
21,70,756,CC,false,21,A,0,0,,0,
23,80,756,CC,false,24,A,0,0,,0,
24,80,756,CC,false,24,A,0,0,,0,
26,80,756,CC,false,27,A,0,0,,0,
27,80,756,CC,false,27,A,0,0,,0,
29,100,756,CC,false,30,A,0,0,,0,
30,100,756,CC,false,30,A,0,0,,0,
32,90,756,CC,false,33,A,0,0,,0,
33,90,756,CC,false,33,A,0,0,,0,
35,70,756,CC,false,35,A,0,0,,0,
37,70,756,CC,false,38,A,0,0,,0,
38,70,756,CC,false,38,A,0,0,,0,
40,80,756,CC,false,41,A,0,0,,0,
41,80,756,CC,false,41,A,0,0,,0,
42,190,756,CC,false,43,A,0,0,,0,
43,190,756,CC,false,43,A,0,0,,0,
45,80,756,CC,false,45,A,0,0,,0,
47,70,756,CC,false,47,A,0,0,,0,
49,80,756,CC,false,50,A,0,0,,0,
50,80,756,CC,false,50,A,0,0,,0,
51,70,756,CC,false,51,A,0,0,,0,
53,70,756,CC,false,53,A,0,0,,0,
55,80,756,CC,false,56,A,0,0,,0,
56,80,756,CC,false,56,A,0,0,,0,
58,100,756,CC,false,59,A,0,0,,0,
59,100,756,CC,false,59,A,0,0,,0,
61,100,756,CC,false,62,A,0,0,,0,
62,100,756,CC,false,62,A,0,0,,0,
63,90,756,CC,false,64,A,0,0,,0,
64,90,756,CC,false,64,A,0,0,,0,
66,100,756,CC,false,67,A,0,0,,0,
67,100,756,CC,false,67,A,0,0,,0,
68,90,756,CC,false,69,A,0,0,,0,
