TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Seral.CWHvm_DR_HW_M.immature,,3
1,feature.Seral.CWHvm_DR_HW_M.mature,,4
1,feature.Seral.CWHvm_DR_HW_M.overmature,,5
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,6
1,feature.Seral.CWHvm_DR_HW_M.young,,7
1,feature.Seral.immature,,3
1,feature.Seral.mature,,4
1,feature.Seral.overmature,,5
1,feature.Seral.regenerating,,6
1,feature.Seral.young,,7
1,feature.SpeciesProp.unmanaged.CW,,8
1,feature.SpeciesProp.unmanaged.FDC,,9
1,feature.SpeciesProp.unmanaged.HW,,10
1,feature.Yield.unmanaged.CW,,11
1,feature.Yield.unmanaged.FDC,,12
1,feature.Yield.unmanaged.HW,,13
1,feature.Yield.unmanaged.Total,,14
2,feature.Area.managed,,15
2,feature.Area.og1.CWHvm_DR_HW_M,,16
2,feature.Area.og1.total,,16
2,feature.Area.og2.CWHvm_DR_HW_M,,17
2,feature.Area.og2.total,,17
2,feature.Seral.CWHvm_DR_HW_M.immature,,18
2,feature.Seral.CWHvm_DR_HW_M.mature,,19
2,feature.Seral.CWHvm_DR_HW_M.overmature,,20
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,21
2,feature.Seral.CWHvm_DR_HW_M.young,,22
2,feature.Seral.immature,,18
2,feature.Seral.mature,,19
2,feature.Seral.overmature,,20
2,feature.Seral.regenerating,,21
2,feature.Seral.young,,22
2,feature.SpeciesProp.managed.CW,,23
2,feature.SpeciesProp.managed.FDC,,9
2,feature.SpeciesProp.managed.HW,,24
2,feature.Yield.managed.CW,,25
2,feature.Yield.managed.FDC,,26
2,feature.Yield.managed.HW,,27
2,feature.Yield.managed.Total,,28
3,feature.Area.managed,,2
3,feature.Area.og1.CWHvm_FDC_HW_H,,41
3,feature.Area.og1.total,,41
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Seral.CWHvm_FDC_HW_H.immature,,42
3,feature.Seral.CWHvm_FDC_HW_H.mature,,43
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,44
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,6
3,feature.Seral.CWHvm_FDC_HW_H.young,,7
3,feature.Seral.immature,,42
3,feature.Seral.mature,,43
3,feature.Seral.overmature,,44
3,feature.Seral.regenerating,,6
3,feature.Seral.young,,7
3,feature.SpeciesProp.managed.CW,,45
3,feature.SpeciesProp.managed.FDC,,46
3,feature.SpeciesProp.managed.HW,,47
3,feature.Yield.managed.CW,,48
3,feature.Yield.managed.FDC,,49
3,feature.Yield.managed.HW,,50
3,feature.Yield.managed.Total,,51
4,feature.Area.og1.CWHvm_HW_CW_M,,64
4,feature.Area.og1.total,,64
4,feature.Area.og2.CWHvm_HW_CW_M,,1
4,feature.Area.og2.total,,1
4,feature.Area.unmanaged,,2
4,feature.Seral.CWHvm_HW_CW_M.immature,,65
4,feature.Seral.CWHvm_HW_CW_M.mature,,66
4,feature.Seral.CWHvm_HW_CW_M.overmature,,67
4,feature.Seral.CWHvm_HW_CW_M.regenerating,,6
4,feature.Seral.CWHvm_HW_CW_M.young,,7
4,feature.Seral.immature,,65
4,feature.Seral.mature,,66
4,feature.Seral.overmature,,67
4,feature.Seral.regenerating,,6
4,feature.Seral.young,,7
4,feature.SpeciesProp.unmanaged.CW,,24
4,feature.SpeciesProp.unmanaged.FDC,,23
4,feature.SpeciesProp.unmanaged.HW,,9
4,feature.Yield.unmanaged.CW,,68
4,feature.Yield.unmanaged.FDC,,69
4,feature.Yield.unmanaged.HW,,70
4,feature.Yield.unmanaged.Total,,71
5,feature.Area.managed,,15
5,feature.Area.og1.CWHvm_HW_CW_M,,72
5,feature.Area.og1.total,,72
5,feature.Area.og2.CWHvm_HW_CW_M,,17
5,feature.Area.og2.total,,17
5,feature.Seral.CWHvm_HW_CW_M.immature,,73
5,feature.Seral.CWHvm_HW_CW_M.mature,,74
5,feature.Seral.CWHvm_HW_CW_M.overmature,,75
5,feature.Seral.CWHvm_HW_CW_M.regenerating,,21
5,feature.Seral.CWHvm_HW_CW_M.young,,22
5,feature.Seral.immature,,73
5,feature.Seral.mature,,74
5,feature.Seral.overmature,,75
5,feature.Seral.regenerating,,21
5,feature.Seral.young,,22
5,feature.SpeciesProp.managed.CW,,24
5,feature.SpeciesProp.managed.FDC,,23
5,feature.SpeciesProp.managed.HW,,76
5,feature.Yield.managed.CW,,77
5,feature.Yield.managed.FDC,,78
5,feature.Yield.managed.HW,,79
5,feature.Yield.managed.Total,,80
6,feature.Area.managed,,2
6,feature.Area.og1.CWHvm_HW_FDC_H,,93
6,feature.Area.og1.total,,93
6,feature.Area.og2.CWHvm_HW_FDC_H,,1
6,feature.Area.og2.total,,1
6,feature.Seral.CWHvm_HW_FDC_H.immature,,42
6,feature.Seral.CWHvm_HW_FDC_H.mature,,43
6,feature.Seral.CWHvm_HW_FDC_H.overmature,,44
6,feature.Seral.CWHvm_HW_FDC_H.regenerating,,6
6,feature.Seral.CWHvm_HW_FDC_H.young,,7
6,feature.Seral.immature,,42
6,feature.Seral.mature,,43
6,feature.Seral.overmature,,44
6,feature.Seral.regenerating,,6
6,feature.Seral.young,,7
6,feature.SpeciesProp.managed.CW,,10
6,feature.SpeciesProp.managed.FDC,,8
6,feature.SpeciesProp.managed.HW,,9
6,feature.Yield.managed.CW,,94
6,feature.Yield.managed.FDC,,95
6,feature.Yield.managed.HW,,96
6,feature.Yield.managed.Total,,97
7,feature.Area.og1.CWHvm_DR_HW_M,,16
7,feature.Area.og1.total,,16
7,feature.Area.og2.CWHvm_DR_HW_M,,17
7,feature.Area.og2.total,,17
7,feature.Area.unmanaged,,15
7,feature.Seral.CWHvm_DR_HW_M.immature,,18
7,feature.Seral.CWHvm_DR_HW_M.mature,,19
7,feature.Seral.CWHvm_DR_HW_M.overmature,,20
7,feature.Seral.CWHvm_DR_HW_M.regenerating,,21
7,feature.Seral.CWHvm_DR_HW_M.young,,22
7,feature.Seral.immature,,18
7,feature.Seral.mature,,19
7,feature.Seral.overmature,,20
7,feature.Seral.regenerating,,21
7,feature.Seral.young,,22
7,feature.SpeciesProp.unmanaged.CW,,23
7,feature.SpeciesProp.unmanaged.FDC,,9
7,feature.SpeciesProp.unmanaged.HW,,24
7,feature.Yield.unmanaged.CW,,105
7,feature.Yield.unmanaged.FDC,,106
7,feature.Yield.unmanaged.HW,,107
7,feature.Yield.unmanaged.Total,,108
8,feature.Area.managed,,2
8,feature.Area.og1.CWHvm_DR_HW_M,,0
8,feature.Area.og1.total,,0
8,feature.Area.og2.CWHvm_DR_HW_M,,1
8,feature.Area.og2.total,,1
8,feature.Seral.CWHvm_DR_HW_M.immature,,3
8,feature.Seral.CWHvm_DR_HW_M.mature,,4
8,feature.Seral.CWHvm_DR_HW_M.overmature,,5
8,feature.Seral.CWHvm_DR_HW_M.regenerating,,6
8,feature.Seral.CWHvm_DR_HW_M.young,,7
8,feature.Seral.immature,,3
8,feature.Seral.mature,,4
8,feature.Seral.overmature,,5
8,feature.Seral.regenerating,,6
8,feature.Seral.young,,7
8,feature.SpeciesProp.managed.CW,,109
8,feature.SpeciesProp.managed.FDC,,9
8,feature.SpeciesProp.managed.HW,,110
8,feature.Yield.managed.CW,,111
8,feature.Yield.managed.FDC,,112
8,feature.Yield.managed.HW,,113
8,feature.Yield.managed.Total,,114
9,feature.Area.managed,,2
9,feature.Area.og1.CWHvm_HW_CW_L,,125
9,feature.Area.og1.total,,125
9,feature.Area.og2.CWHvm_HW_CW_L,,1
9,feature.Area.og2.total,,1
9,feature.Seral.CWHvm_HW_CW_L.immature,,3
9,feature.Seral.CWHvm_HW_CW_L.mature,,126
9,feature.Seral.CWHvm_HW_CW_L.overmature,,67
9,feature.Seral.CWHvm_HW_CW_L.regenerating,,6
9,feature.Seral.CWHvm_HW_CW_L.young,,7
9,feature.Seral.immature,,3
9,feature.Seral.mature,,126
9,feature.Seral.overmature,,67
9,feature.Seral.regenerating,,6
9,feature.Seral.young,,7
9,feature.SpeciesProp.managed.CW,,127
9,feature.SpeciesProp.managed.HW,,128
9,feature.Yield.managed.CW,,129
9,feature.Yield.managed.HW,,130
9,feature.Yield.managed.Total,,131
10,feature.Area.managed,,2
10,feature.Area.og1.CWHvm_HW_CW_L,,125
10,feature.Area.og1.total,,125
10,feature.Area.og2.CWHvm_HW_CW_L,,1
