TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,756,CC,false,2,A,0,0,,0,
3,70,756,CC,false,3,A,0,0,,0,
5,90,756,CC,false,5,A,0,0,,0,
6,70,756,CC,false,6,A,0,0,,0,
8,100,756,CC,false,8,A,0,0,,0,
9,100,756,CC,false,10,A,0,0,,0,
10,100,756,CC,false,10,A,0,0,,0,
12,90,756,CC,false,12,A,0,0,,0,
15,70,756,CC,false,15,A,0,0,,0,
16,80,756,CC,false,16,A,0,0,,0,
18,70,756,CC,false,18,A,0,0,,0,
20,70,756,CC,false,20,A,0,0,,0,
22,80,756,CC,false,23,A,0,0,,0,
23,80,756,CC,false,23,A,0,0,,0,
25,100,756,CC,false,26,A,0,0,,0,
26,100,756,CC,false,26,A,0,0,,0,
28,80,756,CC,false,29,A,0,0,,0,
29,80,756,CC,false,29,A,0,0,,0,
31,100,756,CC,false,32,A,0,0,,0,
32,100,756,CC,false,32,A,0,0,,0,
34,90,756,CC,false,35,A,0,0,,0,
35,90,756,CC,false,35,A,0,0,,0,
38,70,756,CC,false,39,A,0,0,,0,
39,70,756,CC,false,39,A,0,0,,0,
41,80,756,CC,false,42,A,0,0,,0,
42,80,756,CC,false,42,A,0,0,,0,
45,80,756,CC,false,45,A,0,0,,0,
47,70,756,CC,false,47,A,0,0,,0,
49,80,756,CC,false,50,A,0,0,,0,
50,80,756,CC,false,50,A,0,0,,0,
51,70,756,CC,false,51,A,0,0,,0,
53,70,756,CC,false,53,A,0,0,,0,
55,80,756,CC,false,56,A,0,0,,0,
56,80,756,CC,false,56,A,0,0,,0,
58,100,756,CC,false,59,A,0,0,,0,
59,100,756,CC,false,59,A,0,0,,0,
60,90,756,CC,false,61,A,0,0,,0,
61,90,756,CC,false,61,A,0,0,,0,
63,90,756,CC,false,64,A,0,0,,0,
64,90,756,CC,false,64,A,0,0,,0,
65,100,756,CC,false,66,A,0,0,,0,
66,100,756,CC,false,66,A,0,0,,0,
68,100,756,CC,false,69,A,0,0,,0,
69,100,756,CC,false,69,A,0,0,,0,
72,80,756,CC,false,73,A,0,0,,0,
73,80,756,CC,false,73,A,0,0,,0,
