GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.Area.managed,feature.Area.managed,1
_ALL_,feature.Area.og1.CWHvm_CW_HW_M,feature.Area.og1.CWHvm_CW_HW_M,1
_UNMANAGED_,feature.Area.og1.CWHvm_CW_PLC_M,feature.Area.og1.CWHvm_CW_PLC_M,1
_UNMANAGED_,feature.Area.og1.CWHvm_CW_YC_M,feature.Area.og1.CWHvm_CW_YC_M,1
_ALL_,feature.Area.og1.CWHvm_DR_HW_M,feature.Area.og1.CWHvm_DR_HW_M,1
_ALL_,feature.Area.og1.CWHvm_FDC_HW_H,feature.Area.og1.CWHvm_FDC_HW_H,1
_ALL_,feature.Area.og1.CWHvm_FDC_HW_L,feature.Area.og1.CWHvm_FDC_HW_L,1
_ALL_,feature.Area.og1.CWHvm_FDC_HW_M,feature.Area.og1.CWHvm_FDC_HW_M,1
_ALL_,feature.Area.og1.CWHvm_HW_BA_M,feature.Area.og1.CWHvm_HW_BA_M,1
_ALL_,feature.Area.og1.CWHvm_HW_CW_H,feature.Area.og1.CWHvm_HW_CW_H,1
_ALL_,feature.Area.og1.CWHvm_HW_CW_L,feature.Area.og1.CWHvm_HW_CW_L,1
_ALL_,feature.Area.og1.CWHvm_HW_CW_M,feature.Area.og1.CWHvm_HW_CW_M,1
_ALL_,feature.Area.og1.CWHvm_HW_FDC_H,feature.Area.og1.CWHvm_HW_FDC_H,1
_ALL_,feature.Area.og1.CWHvm_HW_FDC_L,feature.Area.og1.CWHvm_HW_FDC_L,1
_ALL_,feature.Area.og1.CWHvm_HW_SS_M,feature.Area.og1.CWHvm_HW_SS_M,1
_ALL_,feature.Area.og1.total,feature.Area.og1.total,1
_ALL_,feature.Area.og2.CWHvm_CW_HW_M,feature.Area.og2.CWHvm_CW_HW_M,1
_UNMANAGED_,feature.Area.og2.CWHvm_CW_PLC_M,feature.Area.og2.CWHvm_CW_PLC_M,1
_UNMANAGED_,feature.Area.og2.CWHvm_CW_YC_M,feature.Area.og2.CWHvm_CW_YC_M,1
_ALL_,feature.Area.og2.CWHvm_DR_HW_M,feature.Area.og2.CWHvm_DR_HW_M,1
_ALL_,feature.Area.og2.CWHvm_FDC_HW_H,feature.Area.og2.CWHvm_FDC_HW_H,1
_ALL_,feature.Area.og2.CWHvm_FDC_HW_L,feature.Area.og2.CWHvm_FDC_HW_L,1
_ALL_,feature.Area.og2.CWHvm_FDC_HW_M,feature.Area.og2.CWHvm_FDC_HW_M,1
_ALL_,feature.Area.og2.CWHvm_HW_BA_M,feature.Area.og2.CWHvm_HW_BA_M,1
_ALL_,feature.Area.og2.CWHvm_HW_CW_H,feature.Area.og2.CWHvm_HW_CW_H,1
_ALL_,feature.Area.og2.CWHvm_HW_CW_L,feature.Area.og2.CWHvm_HW_CW_L,1
_ALL_,feature.Area.og2.CWHvm_HW_CW_M,feature.Area.og2.CWHvm_HW_CW_M,1
_ALL_,feature.Area.og2.CWHvm_HW_FDC_H,feature.Area.og2.CWHvm_HW_FDC_H,1
_ALL_,feature.Area.og2.CWHvm_HW_FDC_L,feature.Area.og2.CWHvm_HW_FDC_L,1
_ALL_,feature.Area.og2.CWHvm_HW_SS_M,feature.Area.og2.CWHvm_HW_SS_M,1
_ALL_,feature.Area.og2.total,feature.Area.og2.total,1
_UNMANAGED_,feature.Area.unmanaged,feature.Area.unmanaged,1
_MANAGED_,feature.Height.managed.CWHvm_CW_HW_M,feature.Height.managed.CWHvm_CW_HW_M,0.0090407224457
_MANAGED_,feature.Height.managed.CWHvm_DR_HW_M,feature.Height.managed.CWHvm_DR_HW_M,0.0284720504464
_MANAGED_,feature.Height.managed.CWHvm_FDC_HW_H,feature.Height.managed.CWHvm_FDC_HW_H,0.00811717881294
_MANAGED_,feature.Height.managed.CWHvm_FDC_HW_L,feature.Height.managed.CWHvm_FDC_HW_L,0.00778728649975
_MANAGED_,feature.Height.managed.CWHvm_FDC_HW_M,feature.Height.managed.CWHvm_FDC_HW_M,0.00694116163913
_MANAGED_,feature.Height.managed.CWHvm_HW_BA_M,feature.Height.managed.CWHvm_HW_BA_M,0.0403009817383
_MANAGED_,feature.Height.managed.CWHvm_HW_CW_H,feature.Height.managed.CWHvm_HW_CW_H,0.0106313824551
_MANAGED_,feature.Height.managed.CWHvm_HW_CW_L,feature.Height.managed.CWHvm_HW_CW_L,0.0956449599435
_MANAGED_,feature.Height.managed.CWHvm_HW_CW_M,feature.Height.managed.CWHvm_HW_CW_M,0.0282430399255
