TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN,SILV_STATE,RETENTION
1,0,0,0,985502004,unmanaged,planted,cc_pl,0.05
2,0,0,0,985502004,managed,planted,cc_pl,0.05
3,0,0,0,985503001,unmanaged,planted,cc_pl,0.05
4,0,0,0,985503001,managed,planted,cc_pl,0.05
5,0,0,0,985503001,managed,planted,cc_pl_pct,0.05
6,0,0,0,985502003,unmanaged,planted,cc_pl,0.05
7,0,0,0,985502003,managed,planted,cc_pl,0.05
8,0,0,0,985503000,unmanaged,planted,cc_pl,0.05
9,0,0,0,985503000,managed,planted,cc_pl,0.05
10,0,0,0,985503000,managed,planted,cc_pl_pct,0.05
11,0,0,0,985501003,unmanaged,natural,baseline,0.05
12,0,0,0,985501003,managed,natural,baseline,0.05
13,0,0,0,985501003,managed,planted,cc_pl,0.05
14,0,0,0,985501001,unmanaged,planted,cc_pl,0.05
15,0,0,0,985501001,managed,planted,cc_pl,0.05
16,0,0,0,985502002,unmanaged,natural,baseline,0.05
17,0,0,0,985502002,managed,natural,baseline,0.05
18,0,0,0,985502002,managed,planted,cc_pl,0.05
19,0,0,0,985501000,unmanaged,planted,cc_pl,0.05
20,0,0,0,985501000,managed,planted,cc_pl,0.05
21,0,0,0,985502001,unmanaged,planted,cc_pl,0.05
22,0,0,0,985502001,managed,planted,cc_pl,0.05
23,0,0,0,985502001,managed,planted,cc_pl_pct,0.05
24,0,0,0,985503003,unmanaged,natural,baseline,0.05
25,0,0,0,985503003,managed,natural,baseline,0.05
26,0,0,0,985503003,managed,planted,cc_pl,0.05
27,0,0,0,985501000,unmanaged,natural,baseline,0.05
28,0,0,0,985501000,managed,natural,baseline,0.05
29,0,0,0,985502003,unmanaged,natural,baseline,0.05
30,0,0,0,985502003,managed,natural,baseline,0.05
31,0,0,0,985503000,unmanaged,natural,baseline,0.05
32,0,0,0,985503000,managed,natural,baseline,0.05
33,0,0,0,985502006,unmanaged,natural,baseline,0.05
34,0,0,0,985502006,managed,natural,baseline,0.05
35,0,0,0,985502006,managed,planted,cc_pl,0.05
36,0,0,0,985502007,unmanaged,natural,baseline,0.05
37,0,0,0,985502007,managed,natural,baseline,0.05
38,0,0,0,985502007,managed,planted,cc_pl,0.05
39,0,0,0,985501001,unmanaged,natural,baseline,0.05
40,0,0,0,985501001,managed,natural,baseline,0.05
41,0,0,0,985502002,unmanaged,planted,cc_pl,0.05
42,0,0,0,985502008,unmanaged,natural,baseline,0.05
43,0,0,0,985502008,managed,natural,baseline,0.05
44,0,0,0,985502008,managed,planted,cc_pl,0.05
45,0,0,0,985502001,unmanaged,natural,baseline,0.05
46,0,0,0,985502001,managed,natural,baseline,0.05
47,0,0,0,985503003,unmanaged,planted,cc_pl,0.05
48,0,0,0,985502005,unmanaged,natural,baseline,0.05
49,0,0,0,985502005,managed,natural,baseline,0.05
50,0,0,0,985502005,managed,planted,cc_pl,0.05
51,0,0,0,985502005,unmanaged,planted,cc_pl,0.05
52,0,0,0,985503001,unmanaged,natural,baseline,0.05
53,0,0,0,985503001,managed,natural,baseline,0.05
