BLOCK,GROUP
1,zone3
2,zone3
3,zone3
4,zone3
5,zone1
6,zone2
7,zone3
8,zone1
9,zone3
10,zone1
11,zone3
12,zone3
13,zone2
14,zone3
15,zone2
16,zone2
17,zone2
18,zone1
19,zone2
20,zone3
21,zone3
22,zone3
23,zone2
24,zone1
25,zone3
26,zone3
27,zone2
28,zone3
29,zone3
30,zone2
31,zone1
32,zone2
33,zone2
34,zone2
35,zone3
36,zone3
37,zone2
38,zone1
39,zone1
40,zone2
41,zone3
42,zone2
43,zone3
44,zone3
45,zone2
46,zone2
47,zone2
48,zone2
49,zone3
50,zone2
51,zone2
52,zone1
53,zone2
54,zone3
55,zone1
56,zone3
57,zone3
58,zone2
59,zone1
60,zone1
61,zone2
62,zone2
63,zone2
64,zone2
65,zone1
66,zone3
67,zone2
68,zone3
69,zone3
70,zone2
71,zone2
72,zone2
73,zone2
74,zone3
75,zone1
76,zone2
77,zone3
78,zone3
79,zone2
80,zone2
81,zone2
82,zone1
83,zone2
84,zone3
85,zone3
86,zone2
87,zone3
88,zone1
89,zone2
90,zone3
91,zone3
92,zone2
93,zone1
94,zone1
95,zone3
96,zone3
97,zone3
98,zone2
99,zone2
100,zone1
101,zone3
102,zone3
103,zone2
104,zone1
105,zone3
106,zone1
107,zone2
108,zone3
109,zone3
110,zone3
111,zone2
112,zone3
113,zone2
114,zone3
115,zone1
116,zone2
117,zone1
118,zone2
119,zone3
120,zone3
121,zone3
122,zone2
123,zone3
124,zone1
125,zone2
126,zone2
127,zone3
128,zone3
129,zone2
130,zone2
131,zone2
132,zone2
133,zone3
134,zone3
135,zone3
136,zone3
137,zone3
138,zone3
139,zone3
140,zone3
141,zone2
142,zone1
143,zone1
144,zone1
145,zone2
146,zone3
147,zone3
148,zone3
149,zone3
150,zone2
151,zone3
152,zone3
153,zone2
154,zone2
155,zone2
156,zone1
157,zone1
158,zone1
159,zone2
160,zone1
161,zone2
162,zone3
163,zone3
164,zone2
165,zone2
166,zone3
167,zone3
168,zone2
169,zone3
170,zone2
171,zone1
172,zone2
173,zone2
174,zone1
175,zone3
176,zone2
177,zone2
178,zone3
179,zone1
180,zone3
181,zone3
182,zone2
183,zone3
184,zone3
185,zone3
186,zone1
187,zone2
188,zone3
189,zone3
190,zone1
191,zone3
192,zone3
193,zone3
194,zone1
195,zone1
196,zone3
197,zone2
198,zone3
199,zone2
200,zone2
201,zone1
202,zone3
203,zone2
204,zone3
205,zone2
206,zone2
207,zone3
208,zone3
209,zone2
210,zone2
211,zone2
212,zone3
213,zone3
214,zone1
215,zone1
216,zone2
217,zone3
218,zone2
