TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.CWHvm_DR_HW_M,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.CWHvm_DR_HW_M,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Height.unmanaged.CWHvm_DR_HW_M,,3
1,feature.QMD.unmanaged.CWHvm_DR_HW_M,,4
1,feature.Seral.CWHvm_DR_HW_M.immature,,5
1,feature.Seral.CWHvm_DR_HW_M.mature,,6
1,feature.Seral.CWHvm_DR_HW_M.overmature,,7
1,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
1,feature.Seral.CWHvm_DR_HW_M.young,,9
1,feature.Seral.immature,,5
1,feature.Seral.mature,,6
1,feature.Seral.overmature,,7
1,feature.Seral.regenerating,,8
1,feature.Seral.young,,9
1,feature.SpeciesProp.unmanaged.CW,,10
1,feature.SpeciesProp.unmanaged.DR,,11
1,feature.SpeciesProp.unmanaged.FDC,,12
1,feature.SpeciesProp.unmanaged.HW,,13
1,feature.SpeciesProp.unmanaged.SS,,14
1,feature.StemsPerHa.unmanaged.CWHvm_DR_HW_M,,15
1,feature.Yield.unmanaged.CW,,16
1,feature.Yield.unmanaged.DR,,17
1,feature.Yield.unmanaged.FDC,,18
1,feature.Yield.unmanaged.HW,,19
1,feature.Yield.unmanaged.SS,,20
1,feature.Yield.unmanaged.Total,,21
2,feature.Area.managed,,2
2,feature.Area.og1.CWHvm_DR_HW_M,,0
2,feature.Area.og1.total,,0
2,feature.Area.og2.CWHvm_DR_HW_M,,1
2,feature.Area.og2.total,,1
2,feature.Height.managed.CWHvm_DR_HW_M,,22
2,feature.QMD.managed.CWHvm_DR_HW_M,,23
2,feature.Seral.CWHvm_DR_HW_M.immature,,5
2,feature.Seral.CWHvm_DR_HW_M.mature,,6
2,feature.Seral.CWHvm_DR_HW_M.overmature,,7
2,feature.Seral.CWHvm_DR_HW_M.regenerating,,8
2,feature.Seral.CWHvm_DR_HW_M.young,,9
2,feature.Seral.immature,,5
2,feature.Seral.mature,,6
2,feature.Seral.overmature,,7
2,feature.Seral.regenerating,,8
2,feature.Seral.young,,9
2,feature.SpeciesProp.managed.CW,,10
2,feature.SpeciesProp.managed.DR,,24
2,feature.SpeciesProp.managed.FDC,,25
2,feature.SpeciesProp.managed.HW,,13
2,feature.SpeciesProp.managed.SS,,14
2,feature.StemsPerHa.managed.CWHvm_DR_HW_M,,26
2,feature.Yield.managed.CW,,27
2,feature.Yield.managed.DR,,28
2,feature.Yield.managed.FDC,,29
2,feature.Yield.managed.HW,,30
2,feature.Yield.managed.SS,,31
2,feature.Yield.managed.Total,,32
3,feature.Area.og1.CWHvm_FDC_HW_H,,104
3,feature.Area.og1.total,,104
3,feature.Area.og2.CWHvm_FDC_HW_H,,1
3,feature.Area.og2.total,,1
3,feature.Area.unmanaged,,2
3,feature.Height.unmanaged.CWHvm_FDC_HW_H,,105
3,feature.QMD.unmanaged.CWHvm_FDC_HW_H,,106
3,feature.Seral.CWHvm_FDC_HW_H.immature,,107
3,feature.Seral.CWHvm_FDC_HW_H.mature,,108
3,feature.Seral.CWHvm_FDC_HW_H.overmature,,109
3,feature.Seral.CWHvm_FDC_HW_H.regenerating,,8
3,feature.Seral.CWHvm_FDC_HW_H.young,,9
3,feature.Seral.immature,,107
3,feature.Seral.mature,,108
3,feature.Seral.overmature,,109
3,feature.Seral.regenerating,,8
3,feature.Seral.young,,9
3,feature.SpeciesProp.unmanaged.BA,,110
3,feature.SpeciesProp.unmanaged.CW,,111
3,feature.SpeciesProp.unmanaged.DR,,112
3,feature.SpeciesProp.unmanaged.FDC,,113
3,feature.SpeciesProp.unmanaged.HW,,114
3,feature.SpeciesProp.unmanaged.PL,,115
3,feature.SpeciesProp.unmanaged.SS,,115
3,feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_H,,116
3,feature.Yield.unmanaged.BA,,117
3,feature.Yield.unmanaged.CW,,118
3,feature.Yield.unmanaged.DR,,119
3,feature.Yield.unmanaged.FDC,,120
3,feature.Yield.unmanaged.HW,,121
3,feature.Yield.unmanaged.PL,,122
3,feature.Yield.unmanaged.SS,,122
3,feature.Yield.unmanaged.Total,,123
4,feature.Area.managed,,124
4,feature.Area.og1.CWHvm_FDC_HW_H,,125
4,feature.Area.og1.total,,125
4,feature.Area.og2.CWHvm_FDC_HW_H,,126
4,feature.Area.og2.total,,126
4,feature.Height.managed.CWHvm_FDC_HW_H,,127
4,feature.QMD.managed.CWHvm_FDC_HW_H,,128
4,feature.Seral.CWHvm_FDC_HW_H.immature,,129
4,feature.Seral.CWHvm_FDC_HW_H.mature,,130
4,feature.Seral.CWHvm_FDC_HW_H.overmature,,131
4,feature.Seral.CWHvm_FDC_HW_H.regenerating,,132
4,feature.Seral.CWHvm_FDC_HW_H.young,,133
4,feature.Seral.immature,,129
4,feature.Seral.mature,,130
4,feature.Seral.overmature,,131
4,feature.Seral.regenerating,,132
4,feature.Seral.young,,133
4,feature.SpeciesProp.managed.BA,,110
4,feature.SpeciesProp.managed.CW,,111
4,feature.SpeciesProp.managed.DR,,112
4,feature.SpeciesProp.managed.FDC,,134
4,feature.SpeciesProp.managed.HW,,135
4,feature.SpeciesProp.managed.PL,,136
4,feature.SpeciesProp.managed.SS,,136
4,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,137
4,feature.Yield.managed.BA,,138
4,feature.Yield.managed.CW,,139
4,feature.Yield.managed.DR,,140
4,feature.Yield.managed.FDC,,141
4,feature.Yield.managed.HW,,142
4,feature.Yield.managed.PL,,143
4,feature.Yield.managed.SS,,143
4,feature.Yield.managed.Total,,144
5,feature.Area.managed,,124
5,feature.Area.og1.CWHvm_FDC_HW_H,,125
5,feature.Area.og1.total,,125
5,feature.Area.og2.CWHvm_FDC_HW_H,,126
5,feature.Area.og2.total,,126
5,feature.Height.managed.CWHvm_FDC_HW_H,,127
5,feature.QMD.managed.CWHvm_FDC_HW_H,,128
5,feature.SpeciesProp.managed.BA,,230
5,feature.SpeciesProp.managed.CW,,231
5,feature.SpeciesProp.managed.DR,,230
5,feature.SpeciesProp.managed.FDC,,232
5,feature.SpeciesProp.managed.PL,,230
5,feature.SpeciesProp.managed.SS,,230
5,feature.StemsPerHa.managed.CWHvm_FDC_HW_H,,233
5,feature.Yield.managed.BA,,234
5,feature.Yield.managed.CW,,235
5,feature.Yield.managed.DR,,236
5,feature.Yield.managed.FDC,,237
5,feature.Yield.managed.PL,,238
5,feature.Yield.managed.SS,,238
5,feature.Yield.managed.Total,,144
6,feature.Area.og1.CWHvm_HW_CW_M,,292
6,feature.Area.og1.total,,292
6,feature.Area.og2.CWHvm_HW_CW_M,,1
6,feature.Area.og2.total,,1
6,feature.Area.unmanaged,,2
6,feature.Height.unmanaged.CWHvm_HW_CW_M,,293
6,feature.QMD.unmanaged.CWHvm_HW_CW_M,,294
6,feature.Seral.CWHvm_HW_CW_M.immature,,295
6,feature.Seral.CWHvm_HW_CW_M.mature,,296
6,feature.Seral.CWHvm_HW_CW_M.overmature,,297
6,feature.Seral.CWHvm_HW_CW_M.regenerating,,8
6,feature.Seral.CWHvm_HW_CW_M.young,,9
6,feature.Seral.immature,,295
6,feature.Seral.mature,,296
6,feature.Seral.overmature,,297
6,feature.Seral.regenerating,,8
6,feature.Seral.young,,9
6,feature.SpeciesProp.unmanaged.BA,,298
6,feature.SpeciesProp.unmanaged.CW,,299
6,feature.SpeciesProp.unmanaged.DR,,300
6,feature.SpeciesProp.unmanaged.FDC,,301
6,feature.SpeciesProp.unmanaged.HW,,302
6,feature.SpeciesProp.unmanaged.PLC,,303
6,feature.SpeciesProp.unmanaged.SS,,304
6,feature.SpeciesProp.unmanaged.YC,,305
6,feature.StemsPerHa.unmanaged.CWHvm_HW_CW_M,,15
6,feature.Yield.unmanaged.BA,,306
6,feature.Yield.unmanaged.CW,,307
6,feature.Yield.unmanaged.DR,,308
6,feature.Yield.unmanaged.FDC,,309
6,feature.Yield.unmanaged.HW,,310
6,feature.Yield.unmanaged.PLC,,311
6,feature.Yield.unmanaged.SS,,312
6,feature.Yield.unmanaged.Total,,313
6,feature.Yield.unmanaged.YC,,314
7,feature.Area.managed,,2
7,feature.Area.og1.CWHvm_HW_CW_M,,292
7,feature.Area.og1.total,,292
7,feature.Area.og2.CWHvm_HW_CW_M,,1
7,feature.Area.og2.total,,1
7,feature.Height.managed.CWHvm_HW_CW_M,,315
7,feature.QMD.managed.CWHvm_HW_CW_M,,316
7,feature.Seral.CWHvm_HW_CW_M.immature,,295
7,feature.Seral.CWHvm_HW_CW_M.mature,,296
