TYPE,ROTATION,treatment,AU,IFM,ORIGIN,SILV_STATE,RETENTION
succession,0,,985502004,unmanaged,planted,cc_pl,0.283129300487711
succession,0,,985502004,managed,planted,cc_pl,0.283129300487711
succession,0,,985503001,unmanaged,planted,cc_pl,0.039019789881704
succession,0,,985503001,managed,planted,cc_pl,0.039019789881704
succession,1,,985503001,managed,planted,cc_pl_pct,0.039019789881704
succession,0,,985502003,unmanaged,planted,cc_pl,0.512408452505879
succession,0,,985502003,managed,planted,cc_pl,0.512408452505879
succession,0,,985503000,unmanaged,planted,cc_pl,0.035
succession,0,,985503000,managed,planted,cc_pl,0.035
succession,1,,985503000,managed,planted,cc_pl_pct,0.035
succession,0,,985502004,unmanaged,planted,cc_pl,0.796602216511551
succession,0,,985502004,managed,planted,cc_pl,0.796602216511551
succession,0,,985501003,unmanaged,natural,baseline,0.035
succession,0,,985501003,managed,natural,baseline,0.035
succession,1,,985501003,managed,planted,cc_pl,0.035
succession,0,,985501001,unmanaged,planted,cc_pl,0.116642935971085
succession,0,,985501001,managed,planted,cc_pl,0.116642935971085
succession,0,,985502002,unmanaged,natural,baseline,1.0
succession,0,,985503000,unmanaged,planted,cc_pl,0.357432909692421
succession,0,,985503000,managed,planted,cc_pl,0.357432909692421
succession,1,,985503000,managed,planted,cc_pl_pct,0.357432909692421
succession,0,,985501000,unmanaged,planted,cc_pl,0.035
succession,0,,985501000,managed,planted,cc_pl,0.035
succession,0,,985502001,unmanaged,planted,cc_pl,0.078993153077767
succession,0,,985502001,managed,planted,cc_pl,0.078993153077767
succession,1,,985502001,managed,planted,cc_pl_pct,0.078993153077767
succession,0,,985503000,unmanaged,planted,cc_pl,0.297907188102052
succession,0,,985503000,managed,planted,cc_pl,0.297907188102052
succession,1,,985503000,managed,planted,cc_pl_pct,0.297907188102052
succession,0,,985502001,unmanaged,planted,cc_pl,0.063746865421162
succession,0,,985502001,managed,planted,cc_pl,0.063746865421162
succession,1,,985502001,managed,planted,cc_pl_pct,0.063746865421162
succession,0,,985503003,unmanaged,natural,baseline,0.101176883880507
succession,0,,985503003,managed,natural,baseline,0.101176883880507
succession,1,,985503003,managed,planted,cc_pl,0.101176883880507
succession,0,,985502002,unmanaged,natural,baseline,0.035
succession,0,,985502002,managed,natural,baseline,0.035
succession,1,,985502002,managed,planted,cc_pl,0.035
succession,0,,985501000,unmanaged,natural,baseline,0.294339873260526
succession,0,,985501000,managed,natural,baseline,0.294339873260526
succession,1,,985501000,managed,planted,cc_pl,0.294339873260526
succession,0,,985502003,unmanaged,natural,baseline,0.670257292405503
succession,0,,985502003,managed,natural,baseline,0.670257292405503
succession,1,,985502003,managed,planted,cc_pl,0.670257292405503
succession,0,,985503001,unmanaged,planted,cc_pl,0.035
succession,0,,985503001,managed,planted,cc_pl,0.035
succession,1,,985503001,managed,planted,cc_pl_pct,0.035
succession,0,,985503000,unmanaged,natural,baseline,0.094658756466889
succession,0,,985503000,managed,natural,baseline,0.094658756466889
succession,1,,985503000,managed,planted,cc_pl,0.094658756466889
succession,2,,985503000,managed,planted,cc_pl_pct,0.094658756466889
