TRACK,TREATMENT,LABEL,FUTURE,ADJUST,METHOD,CURVE
2,CC,product.HarvestedVolume.managed.CW.CC,0,R,,30
2,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,31
2,CC,product.HarvestedVolume.managed.HW.CC,0,R,,32
2,CC,product.HarvestedVolume.managed.Total.CC,0,R,,33
2,CC,product.Seral.area.immature.CWHvm_DR_HW_M.CC,0,R,,34
2,CC,product.Seral.area.mature.CWHvm_DR_HW_M.CC,0,R,,35
2,CC,product.Seral.area.overmature.CWHvm_DR_HW_M.CC,0,R,,36
2,CC,product.Seral.area.regenerating.CWHvm_DR_HW_M.CC,0,R,,37
2,CC,product.Seral.area.young.CWHvm_DR_HW_M.CC,0,R,,37
2,CC,product.SpeciesProp.managed.CW,0,R,,38
2,CC,product.SpeciesProp.managed.FDC,0,R,,39
2,CC,product.SpeciesProp.managed.HW,0,R,,40
2,CC,product.Treated.managed.CC,0,R,,41
2,CC,product.Yield.managed.CW,0,R,,30
2,CC,product.Yield.managed.FDC,0,R,,31
2,CC,product.Yield.managed.HW,0,R,,32
2,CC,product.Yield.managed.Total,0,R,,33
4,CC,product.HarvestedVolume.managed.CW.CC,0,R,,57
4,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,58
4,CC,product.HarvestedVolume.managed.HW.CC,0,R,,59
4,CC,product.HarvestedVolume.managed.Total.CC,0,R,,60
4,CC,product.Seral.area.immature.CWHvm_FDC_HW_H.CC,0,R,,61
4,CC,product.Seral.area.mature.CWHvm_FDC_HW_H.CC,0,R,,62
4,CC,product.Seral.area.overmature.CWHvm_FDC_HW_H.CC,0,R,,63
4,CC,product.Seral.area.regenerating.CWHvm_FDC_HW_H.CC,0,R,,64
4,CC,product.Seral.area.young.CWHvm_FDC_HW_H.CC,0,R,,64
4,CC,product.SpeciesProp.managed.CW,0,R,,65
4,CC,product.SpeciesProp.managed.FDC,0,R,,66
4,CC,product.SpeciesProp.managed.HW,0,R,,67
4,CC,product.Treated.managed.CC,0,R,,68
4,CC,product.Yield.managed.CW,0,R,,57
4,CC,product.Yield.managed.FDC,0,R,,58
4,CC,product.Yield.managed.HW,0,R,,59
4,CC,product.Yield.managed.Total,0,R,,60
4,PCT,product.Treated.managed.PCT,0,R,,69
5,CC,product.HarvestedVolume.managed.CW.CC,0,R,,73
5,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,74
5,CC,product.HarvestedVolume.managed.Total.CC,0,R,,60
5,CC,product.SpeciesProp.managed.CW,0,R,,75
5,CC,product.SpeciesProp.managed.FDC,0,R,,76
5,CC,product.Treated.managed.CC,0,R,,68
5,CC,product.Yield.managed.CW,0,R,,73
5,CC,product.Yield.managed.FDC,0,R,,74
5,CC,product.Yield.managed.Total,0,R,,60
7,CC,product.HarvestedVolume.managed.CW.CC,0,R,,90
7,CC,product.HarvestedVolume.managed.FDC.CC,0,R,,91
7,CC,product.HarvestedVolume.managed.HW.CC,0,R,,92
7,CC,product.HarvestedVolume.managed.Total.CC,0,R,,93
7,CC,product.Seral.area.immature.CWHvm_HW_CW_M.CC,0,R,,94
7,CC,product.Seral.area.mature.CWHvm_HW_CW_M.CC,0,R,,95
7,CC,product.Seral.area.overmature.CWHvm_HW_CW_M.CC,0,R,,96
7,CC,product.Seral.area.regenerating.CWHvm_HW_CW_M.CC,0,R,,97
7,CC,product.Seral.area.young.CWHvm_HW_CW_M.CC,0,R,,97
7,CC,product.SpeciesProp.managed.CW,0,R,,98
7,CC,product.SpeciesProp.managed.FDC,0,R,,99
7,CC,product.SpeciesProp.managed.HW,0,R,,100
7,CC,product.Treated.managed.CC,0,R,,101
7,CC,product.Yield.managed.CW,0,R,,90
7,CC,product.Yield.managed.FDC,0,R,,91
