TRACK,STRATA
1,1.0 x 0+treatment()+AU(985502004)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.283129300487711)
2,1.0 x 0+treatment()+AU(985502004)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.283129300487711)
3,1.0 x 0+treatment()+AU(985503001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.039019789881704)
4,1.0 x 0+treatment()+AU(985503001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.039019789881704)
5,1.0 x 0+treatment()+AU(985503001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_pct)+RETENTION(0.039019789881704)
6,1.0 x 0+treatment()+AU(985502003)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.512408452505879)
7,1.0 x 0+treatment()+AU(985502003)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.512408452505879)
8,1.0 x 0+treatment()+AU(985503000)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.035)
9,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.035)
10,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_pct)+RETENTION(0.035)
11,1.0 x 0+treatment()+AU(985502004)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.796602216511551)
12,1.0 x 0+treatment()+AU(985502004)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.796602216511551)
13,1.0 x 0+treatment()+AU(985501003)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.035)
14,1.0 x 0+treatment()+AU(985501003)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.035)
15,1.0 x 0+treatment()+AU(985501003)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.035)
16,1.0 x 0+treatment()+AU(985501001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.116642935971085)
17,1.0 x 0+treatment()+AU(985501001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.116642935971085)
18,1.0 x 0+treatment()+AU(985502002)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(1.0)
19,1.0 x 0+treatment()+AU(985503000)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.357432909692421)
20,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.357432909692421)
21,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_pct)+RETENTION(0.357432909692421)
22,1.0 x 0+treatment()+AU(985501000)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.035)
23,1.0 x 0+treatment()+AU(985501000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.035)
24,1.0 x 0+treatment()+AU(985502001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.078993153077767)
25,1.0 x 0+treatment()+AU(985502001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.078993153077767)
26,1.0 x 0+treatment()+AU(985502001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_pct)+RETENTION(0.078993153077767)
27,1.0 x 0+treatment()+AU(985503000)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.297907188102052)
28,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.297907188102052)
29,1.0 x 0+treatment()+AU(985503000)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_pct)+RETENTION(0.297907188102052)
30,1.0 x 0+treatment()+AU(985502001)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.063746865421162)
31,1.0 x 0+treatment()+AU(985502001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.063746865421162)
32,1.0 x 0+treatment()+AU(985502001)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_pct)+RETENTION(0.063746865421162)
33,1.0 x 0+treatment()+AU(985503003)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.101176883880507)
34,1.0 x 0+treatment()+AU(985503003)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.101176883880507)
35,1.0 x 0+treatment()+AU(985503003)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.101176883880507)
36,1.0 x 0+treatment()+AU(985502002)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.035)
37,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.035)
38,1.0 x 0+treatment()+AU(985502002)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.035)
39,1.0 x 0+treatment()+AU(985501000)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.294339873260526)
