TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
2,100,756,CC,false,2,A,0,0,,0,
4,70,756,CC,false,4,A,0,0,,0,
4,10,10,PCT,false,5,R,0,0,,0,
5,70,756,CC,false,4,A,0,0,,0,
7,90,756,CC,false,7,A,0,0,,0,
9,70,756,CC,false,9,A,0,0,,0,
9,10,10,PCT,false,10,R,0,0,,0,
10,70,756,CC,false,9,A,0,0,,0,
12,100,756,CC,false,12,A,0,0,,0,
14,100,756,CC,false,15,A,0,0,,0,
15,100,756,CC,false,15,A,0,0,,0,
17,90,756,CC,false,17,A,0,0,,0,
20,70,756,CC,false,20,A,0,0,,0,
20,10,10,PCT,false,21,R,0,0,,0,
21,70,756,CC,false,20,A,0,0,,0,
23,80,756,CC,false,23,A,0,0,,0,
25,70,756,CC,false,25,A,0,0,,0,
25,10,10,PCT,false,26,R,0,0,,0,
26,70,756,CC,false,25,A,0,0,,0,
28,70,756,CC,false,28,A,0,0,,0,
28,10,10,PCT,false,29,R,0,0,,0,
29,70,756,CC,false,28,A,0,0,,0,
31,70,756,CC,false,31,A,0,0,,0,
31,10,10,PCT,false,32,R,0,0,,0,
32,70,756,CC,false,31,A,0,0,,0,
34,80,756,CC,false,35,A,0,0,,0,
35,80,756,CC,false,35,A,0,0,,0,
37,100,756,CC,false,38,A,0,0,,0,
38,100,756,CC,false,38,A,0,0,,0,
40,80,756,CC,false,41,A,0,0,,0,
41,80,756,CC,false,41,A,0,0,,0,
43,90,756,CC,false,44,A,0,0,,0,
44,90,756,CC,false,44,A,0,0,,0,
46,70,756,CC,false,46,A,0,0,,0,
46,10,10,PCT,false,47,R,0,0,,0,
47,70,756,CC,false,46,A,0,0,,0,
49,70,756,CC,false,50,A,0,0,,0,
50,70,756,CC,false,50,A,0,0,,0,
50,10,10,PCT,false,51,R,0,0,,0,
51,70,756,CC,false,50,A,0,0,,0,
53,80,756,CC,false,54,A,0,0,,0,
54,80,756,CC,false,54,A,0,0,,0,
57,80,756,CC,false,57,A,0,0,,0,
59,70,756,CC,false,59,A,0,0,,0,
59,10,10,PCT,false,60,R,0,0,,0,
60,70,756,CC,false,59,A,0,0,,0,
62,80,756,CC,false,63,A,0,0,,0,
63,80,756,CC,false,63,A,0,0,,0,
65,70,756,CC,false,65,A,0,0,,0,
65,10,10,PCT,false,66,R,0,0,,0,
66,70,756,CC,false,65,A,0,0,,0,
68,70,756,CC,false,68,A,0,0,,0,
68,10,10,PCT,false,69,R,0,0,,0,
69,70,756,CC,false,68,A,0,0,,0,
71,80,756,CC,false,72,A,0,0,,0,
72,80,756,CC,false,72,A,0,0,,0,
74,90,756,CC,false,75,A,0,0,,0,
75,90,756,CC,false,75,A,0,0,,0,
77,100,756,CC,false,78,A,0,0,,0,
78,100,756,CC,false,78,A,0,0,,0,
80,90,756,CC,false,81,A,0,0,,0,
81,90,756,CC,false,81,A,0,0,,0,
84,70,756,CC,false,84,A,0,0,,0,
84,10,10,PCT,false,85,R,0,0,,0,
85,70,756,CC,false,84,A,0,0,,0,
87,80,756,CC,false,88,A,0,0,,0,
88,80,756,CC,false,88,A,0,0,,0,
90,90,756,CC,false,90,A,0,0,,0,
92,80,756,CC,false,23,A,0,0,,0,
94,100,756,CC,false,95,A,0,0,,0,
95,100,756,CC,false,95,A,0,0,,0,
97,100,756,CC,false,97,A,0,0,,0,
99,90,756,CC,false,99,A,0,0,,0,
101,80,756,CC,false,102,A,0,0,,0,
102,80,756,CC,false,102,A,0,0,,0,
104,100,756,CC,false,105,A,0,0,,0,
105,100,756,CC,false,105,A,0,0,,0,
107,100,756,CC,false,107,A,0,0,,0,
109,100,756,CC,false,109,A,0,0,,0,
111,90,756,CC,false,111,A,0,0,,0,
113,100,756,CC,false,114,A,0,0,,0,
114,100,756,CC,false,114,A,0,0,,0,
117,70,756,CC,false,9,A,0,0,,0,
119,100,756,CC,false,120,A,0,0,,0,
120,100,756,CC,false,120,A,0,0,,0,
122,70,756,CC,false,122,A,0,0,,0,
122,10,10,PCT,false,123,R,0,0,,0,
123,70,756,CC,false,122,A,0,0,,0,
125,70,756,CC,false,125,A,0,0,,0,
125,10,10,PCT,false,126,R,0,0,,0,
126,70,756,CC,false,125,A,0,0,,0,
128,80,756,CC,false,128,A,0,0,,0,
130,100,756,CC,false,131,A,0,0,,0,
131,100,756,CC,false,131,A,0,0,,0,
133,70,756,CC,false,134,A,0,0,,0,
134,70,756,CC,false,134,A,0,0,,0,
134,10,10,PCT,false,135,R,0,0,,0,
135,70,756,CC,false,134,A,0,0,,0,
138,70,756,CC,false,138,A,0,0,,0,
138,10,10,PCT,false,139,R,0,0,,0,
139,70,756,CC,false,138,A,0,0,,0,
141,100,756,CC,false,141,A,0,0,,0,
143,80,756,CC,false,144,A,0,0,,0,
144,80,756,CC,false,144,A,0,0,,0,
146,70,756,CC,false,146,A,0,0,,0,
146,10,10,PCT,false,147,R,0,0,,0,
147,70,756,CC,false,146,A,0,0,,0,
149,80,756,CC,false,150,A,0,0,,0,
150,80,756,CC,false,150,A,0,0,,0,
152,100,756,CC,false,153,A,0,0,,0,
153,100,756,CC,false,153,A,0,0,,0,
156,90,756,CC,false,157,A,0,0,,0,
157,90,756,CC,false,157,A,0,0,,0,
159,70,756,CC,false,159,A,0,0,,0,
159,10,10,PCT,false,160,R,0,0,,0,
160,70,756,CC,false,159,A,0,0,,0,
162,80,756,CC,false,162,A,0,0,,0,
164,70,756,CC,false,165,A,0,0,,0,
165,70,756,CC,false,165,A,0,0,,0,
165,10,10,PCT,false,166,R,0,0,,0,
166,70,756,CC,false,165,A,0,0,,0,
168,80,756,CC,false,169,A,0,0,,0,
169,80,756,CC,false,169,A,0,0,,0,
171,100,756,CC,false,172,A,0,0,,0,
172,100,756,CC,false,172,A,0,0,,0,
174,70,756,CC,false,174,A,0,0,,0,
174,10,10,PCT,false,175,R,0,0,,0,
175,70,756,CC,false,174,A,0,0,,0,
177,100,756,CC,false,178,A,0,0,,0,
178,100,756,CC,false,178,A,0,0,,0,
180,70,756,CC,false,180,A,0,0,,0,
180,10,10,PCT,false,181,R,0,0,,0,
181,70,756,CC,false,180,A,0,0,,0,
183,100,756,CC,false,184,A,0,0,,0,
184,100,756,CC,false,184,A,0,0,,0,
186,0,756,CC,false,187,A,0,0,,0,
187,0,756,CC,false,187,A,0,0,,0,
189,100,756,CC,false,189,A,0,0,,0,
191,70,756,CC,false,191,A,0,0,,0,
191,10,10,PCT,false,192,R,0,0,,0,
192,70,756,CC,false,191,A,0,0,,0,
194,70,756,CC,false,195,A,0,0,,0,
195,70,756,CC,false,195,A,0,0,,0,
195,10,10,PCT,false,196,R,0,0,,0,
196,70,756,CC,false,195,A,0,0,,0,
198,80,756,CC,false,198,A,0,0,,0,
200,70,756,CC,false,200,A,0,0,,0,
200,10,10,PCT,false,201,R,0,0,,0,
201,70,756,CC,false,200,A,0,0,,0,
203,90,756,CC,false,204,A,0,0,,0,
204,90,756,CC,false,204,A,0,0,,0,
207,70,756,CC,false,207,A,0,0,,0,
207,10,10,PCT,false,208,R,0,0,,0,
208,70,756,CC,false,207,A,0,0,,0,
210,70,756,CC,false,210,A,0,0,,0,
210,10,10,PCT,false,211,R,0,0,,0,
211,70,756,CC,false,210,A,0,0,,0,
213,100,756,CC,false,213,A,0,0,,0,
215,80,756,CC,false,216,A,0,0,,0,
216,80,756,CC,false,216,A,0,0,,0,
218,70,756,CC,false,218,A,0,0,,0,
218,10,10,PCT,false,219,R,0,0,,0,
219,70,756,CC,false,218,A,0,0,,0,
221,80,756,CC,false,221,A,0,0,,0,
223,70,756,CC,false,223,A,0,0,,0,
223,10,10,PCT,false,224,R,0,0,,0,
224,70,756,CC,false,223,A,0,0,,0,
