BLOCK,AREA_HA,F_AGE,AU,IFM,ORIGIN,SILV_STATE,retention_thinners,TSA
1,8.044373720000001,57,985502004,managed,planted,cc_pl,0.283129300487711,k3z
2,5.89812178,57,985503001,managed,planted,cc_pl,0.039019789881704,k3z
3,1.95772414,37,985502003,managed,planted,cc_pl,0.512408452505879,k3z
4,7.35568593,57,985503000,managed,planted,cc_pl,0.035,k3z
5,5.20175755,47,985502004,managed,planted,cc_pl,0.796602216511551,k3z
6,3.0568488,87,985501003,managed,natural,baseline,0.035,k3z
7,87.38699904,57,985501001,managed,planted,cc_pl,0.116642935971085,k3z
8,21.77760176,277,985502002,managed,natural,baseline,1.0,k3z
9,4.22726247,57,985503000,managed,planted,cc_pl,0.357432909692421,k3z
10,6.901022560000001,307,985502002,managed,natural,baseline,1.0,k3z
11,4.32839345,57,985501000,managed,planted,cc_pl,0.035,k3z
12,2.60810354,47,985502001,managed,planted,cc_pl,0.078993153077767,k3z
13,1.74020155,47,985503000,managed,planted,cc_pl,0.297907188102052,k3z
14,46.44921503,47,985502001,managed,planted,cc_pl,0.063746865421162,k3z
15,2.81630635,127,985503003,managed,natural,baseline,0.101176883880507,k3z
16,0.82140075,127,985502002,managed,natural,baseline,0.035,k3z
17,3.20021473,67,985501000,managed,natural,baseline,0.294339873260526,k3z
18,7.687363180000001,407,985502002,managed,natural,baseline,1.0,k3z
19,1.46072254,127,985502003,managed,natural,baseline,0.670257292405503,k3z
20,21.15741401,47,985503001,managed,planted,cc_pl,0.035,k3z
21,16.452910290000002,67,985503000,managed,natural,baseline,0.094658756466889,k3z
22,1.35845943,57,985503001,managed,planted,cc_pl,0.035,k3z
23,9.86970627,127,985501000,managed,natural,baseline,0.083429829930807,k3z
24,9.796977640000001,277,985502006,managed,natural,baseline,1.0,k3z
25,2.10507344,57,985501000,managed,planted,cc_pl,0.340040308561643,k3z
26,8.276353890000001,47,985503000,managed,planted,cc_pl,0.045344228314493,k3z
27,2.64942318,207,985502007,managed,natural,baseline,0.279581043563297,k3z
28,7.443862230000001,57,985502001,managed,planted,cc_pl,0.035,k3z
29,1.65141673,57,985503000,managed,planted,cc_pl,0.161074795426115,k3z
30,3.53966982,107,985503003,managed,natural,baseline,0.497101452628146,k3z
31,6.19824697,357,985502002,managed,natural,baseline,1.0,k3z
32,8.40258037,277,985502002,managed,natural,baseline,1.0,k3z
33,3.50225917,127,985501001,managed,natural,baseline,0.040950023928988,k3z
34,4.15385429,237,985501003,managed,natural,baseline,0.795168603959491,k3z
35,4.21785704,57,985503000,managed,planted,cc_pl,0.035,k3z
36,5.6792236,47,985503000,managed,planted,cc_pl,0.035,k3z
37,5.67132836,127,985502003,managed,natural,baseline,0.035,k3z
38,5.6515558,407,985502002,managed,natural,baseline,1.0,k3z
39,23.21797438,47,985502002,managed,planted,cc_pl,0.035,k3z
40,3.98015667,237,985501003,managed,natural,baseline,0.035,k3z
41,2.84715617,57,985503000,managed,planted,cc_pl,0.047770491905831,k3z
42,3.91701737,127,985501000,managed,natural,baseline,0.226425461344206,k3z
43,3.595485360000001,47,985501001,managed,planted,cc_pl,0.035,k3z
44,1.45880214,57,985503000,managed,planted,cc_pl,0.035,k3z
45,2.57388086,107,985501000,managed,natural,baseline,0.035,k3z
46,4.60493982,237,985501003,managed,natural,baseline,0.089446694663384,k3z
47,5.547209670000001,77,985501000,managed,natural,baseline,0.035,k3z
48,14.7881925,43,985502004,managed,planted,cc_pl,0.179126780072567,k3z
49,9.83766368,47,985501001,managed,planted,cc_pl,0.11179494433963,k3z
50,3.883385360000001,237,985501003,managed,natural,baseline,0.035,k3z
51,14.853814660000001,103,985503003,managed,natural,baseline,0.035,k3z
52,2.81300595,403,985502002,managed,natural,baseline,1.0,k3z
53,3.35999314,177,985502002,managed,natural,baseline,0.825222811817728,k3z
54,6.486536450000001,47,985502004,managed,planted,cc_pl,0.715073525371983,k3z
55,9.12672089,277,985502002,managed,natural,baseline,1.0,k3z
56,2.54727031,47,985502004,managed,planted,cc_pl,0.565949293976324,k3z
57,5.784872340000001,47,985501001,managed,planted,cc_pl,0.177146481856507,k3z
58,1.95026864,237,985502002,managed,natural,baseline,0.282280865427848,k3z
59,1.42784211,357,985502002,managed,natural,baseline,1.0,k3z
60,6.3746793,307,985502008,managed,natural,baseline,1.0,k3z
61,15.449219310000002,107,985503000,managed,natural,baseline,0.035,k3z
62,2.60469944,47,985503000,managed,planted,cc_pl,0.035,k3z
63,4.01423053,47,985503000,managed,planted,cc_pl,0.035,k3z
64,0.66902714,237,985502002,managed,natural,baseline,0.281513567409352,k3z
65,8.34637988,357,985502002,managed,natural,baseline,1.0,k3z
66,3.7879368,57,985503000,managed,planted,cc_pl,0.595791786279342,k3z
67,4.284551540000001,47,985503000,managed,planted,cc_pl,0.501422323682337,k3z
68,19.03380091,57,985501000,managed,planted,cc_pl,0.122079092444068,k3z
69,8.957144990000002,47,985502001,managed,planted,cc_pl,0.035,k3z
